76 training frames, 3 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
2715 MP of training mosaic
1.96 M parameters
step 2000  loss 0.4128  σ0.01: 40.27 (38.19)  σ0.03: 33.68 (23.27)  σ0.1: 26.27 (14.56)  1.1 min
step 4000  loss 0.3205  σ0.01: 42.40 (38.19)  σ0.03: 35.05 (23.27)  σ0.1: 26.58 (14.56)  2.0 min
step 6000  loss 0.3009  σ0.01: 43.85 (38.19)  σ0.03: 36.06 (23.27)  σ0.1: 29.06 (14.56)  2.9 min
step 8000  loss 0.3264  σ0.01: 46.50 (38.19)  σ0.03: 36.63 (23.27)  σ0.1: 29.33 (14.56)  3.8 min
step 10000  loss 0.2404  σ0.01: 46.82 (38.19)  σ0.03: 37.02 (23.27)  σ0.1: 30.10 (14.56)  5.0 min
step 12000  loss 0.2696  σ0.01: 47.08 (38.19)  σ0.03: 37.30 (23.27)  σ0.1: 30.24 (14.56)  6.6 min
step 14000  loss 0.2403  σ0.01: 47.15 (38.19)  σ0.03: 37.44 (23.27)  σ0.1: 30.09 (14.56)  8.2 min
step 16000  loss 0.2236  σ0.01: 47.26 (38.19)  σ0.03: 37.66 (23.27)  σ0.1: 30.58 (14.56)  9.8 min
step 18000  loss 0.2559  σ0.01: 47.36 (38.19)  σ0.03: 37.81 (23.27)  σ0.1: 31.04 (14.56)  11.3 min
step 20000  loss 0.2208  σ0.01: 47.39 (38.19)  σ0.03: 37.88 (23.27)  σ0.1: 31.08 (14.56)  12.9 min
step 22000  loss 0.2128  σ0.01: 47.46 (38.19)  σ0.03: 37.94 (23.27)  σ0.1: 31.13 (14.56)  14.5 min
step 24000  loss 0.2160  σ0.01: 47.51 (38.19)  σ0.03: 38.05 (23.27)  σ0.1: 30.89 (14.56)  16.1 min
step 26000  loss 0.2203  σ0.01: 47.54 (38.19)  σ0.03: 38.14 (23.27)  σ0.1: 31.15 (14.56)  17.7 min
step 28000  loss 0.2009  σ0.01: 47.56 (38.19)  σ0.03: 38.21 (23.27)  σ0.1: 30.84 (14.56)  19.3 min
step 30000  loss 0.2055  σ0.01: 47.56 (38.19)  σ0.03: 38.25 (23.27)  σ0.1: 31.08 (14.56)  20.9 min
step 32000  loss 0.1992  σ0.01: 47.54 (38.19)  σ0.03: 38.29 (23.27)  σ0.1: 31.35 (14.56)  22.4 min
step 34000  loss 0.1999  σ0.01: 47.59 (38.19)  σ0.03: 38.38 (23.27)  σ0.1: 31.46 (14.56)  24.0 min
step 36000  loss 0.1893  σ0.01: 47.62 (38.19)  σ0.03: 38.43 (23.27)  σ0.1: 31.64 (14.56)  25.6 min
step 38000  loss 0.1907  σ0.01: 47.64 (38.19)  σ0.03: 38.45 (23.27)  σ0.1: 31.64 (14.56)  27.2 min
step 40000  loss 0.1822  σ0.01: 47.60 (38.19)  σ0.03: 38.46 (23.27)  σ0.1: 31.31 (14.56)  28.8 min
step 42000  loss 0.1841  σ0.01: 47.64 (38.19)  σ0.03: 38.49 (23.27)  σ0.1: 31.66 (14.56)  30.4 min
step 44000  loss 0.1823  σ0.01: 47.68 (38.19)  σ0.03: 38.52 (23.27)  σ0.1: 31.88 (14.56)  32.0 min
step 46000  loss 0.1815  σ0.01: 47.69 (38.19)  σ0.03: 38.54 (23.27)  σ0.1: 31.72 (14.56)  33.6 min
step 48000  loss 0.1762  σ0.01: 47.70 (38.19)  σ0.03: 38.56 (23.27)  σ0.1: 31.89 (14.56)  35.1 min
step 50000  loss 0.1789  σ0.01: 47.70 (38.19)  σ0.03: 38.57 (23.27)  σ0.1: 31.71 (14.56)  36.7 min
step 52000  loss 0.1767  σ0.01: 47.69 (38.19)  σ0.03: 38.58 (23.27)  σ0.1: 31.86 (14.56)  38.3 min
step 54000  loss 0.1765  σ0.01: 47.68 (38.19)  σ0.03: 38.59 (23.27)  σ0.1: 31.93 (14.56)  39.9 min
step 56000  loss 0.1744  σ0.01: 47.68 (38.19)  σ0.03: 38.59 (23.27)  σ0.1: 31.99 (14.56)  41.5 min
step 58000  loss 0.1762  σ0.01: 47.68 (38.19)  σ0.03: 38.59 (23.27)  σ0.1: 31.91 (14.56)  43.1 min
step 60000  loss 0.1753  σ0.01: 47.68 (38.19)  σ0.03: 38.60 (23.27)  σ0.1: 31.94 (14.56)  44.6 min
