624 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
9031 MP of training mosaic
1.23 M parameters
step 8000  loss 0.3590  @1σ0.01: 46.92 (38.19)  @1σ0.03: 36.05 (23.27)  @1σ0.1: 25.14 (14.56)  @2σ0.01: 40.31 (32.12)  @2σ0.03: 33.29 (22.83)  @2σ0.1: 25.07 (14.46)  @3σ0.01: 36.89 (31.07)  @3σ0.03: 33.20 (22.89)  @3σ0.1: 24.64 (14.44)  28.1 min
step 16000  loss 0.3227  @1σ0.01: 47.66 (38.19)  @1σ0.03: 37.66 (23.28)  @1σ0.1: 27.32 (14.56)  @2σ0.01: 41.32 (32.12)  @2σ0.03: 34.16 (22.83)  @2σ0.1: 26.99 (14.46)  @3σ0.01: 37.84 (31.07)  @3σ0.03: 34.26 (22.89)  @3σ0.1: 25.91 (14.44)  56.0 min
step 24000  loss 0.2968  @1σ0.01: 47.77 (38.19)  @1σ0.03: 38.07 (23.28)  @1σ0.1: 27.22 (14.56)  @2σ0.01: 41.51 (32.12)  @2σ0.03: 34.37 (22.83)  @2σ0.1: 26.95 (14.46)  @3σ0.01: 38.11 (31.07)  @3σ0.03: 34.53 (22.89)  @3σ0.1: 25.86 (14.44)  84.0 min
step 32000  loss 0.2928  @1σ0.01: 47.85 (38.19)  @1σ0.03: 38.26 (23.28)  @1σ0.1: 27.81 (14.56)  @2σ0.01: 41.64 (32.12)  @2σ0.03: 34.49 (22.83)  @2σ0.1: 27.43 (14.46)  @3σ0.01: 38.26 (31.07)  @3σ0.03: 34.68 (22.89)  @3σ0.1: 26.31 (14.44)  111.9 min
step 40000  loss 0.2863  @1σ0.01: 47.90 (38.19)  @1σ0.03: 38.35 (23.28)  @1σ0.1: 28.31 (14.56)  @2σ0.01: 41.72 (32.12)  @2σ0.03: 34.60 (22.85)  @2σ0.1: 27.86 (14.46)  @3σ0.01: 38.34 (31.07)  @3σ0.03: 34.78 (22.89)  @3σ0.1: 26.61 (14.44)  139.9 min
step 48000  loss 0.2837  @1σ0.01: 47.91 (38.19)  @1σ0.03: 38.43 (23.29)  @1σ0.1: 28.21 (14.56)  @2σ0.01: 41.75 (32.11)  @2σ0.03: 34.63 (22.83)  @2σ0.1: 27.86 (14.46)  @3σ0.01: 38.40 (31.07)  @3σ0.03: 34.84 (22.89)  @3σ0.1: 26.63 (14.44)  167.9 min
step 56000  loss 0.2789  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.50 (23.28)  @1σ0.1: 28.61 (14.56)  @2σ0.01: 41.81 (32.12)  @2σ0.03: 34.68 (22.83)  @2σ0.1: 28.28 (14.46)  @3σ0.01: 38.45 (31.07)  @3σ0.03: 34.91 (22.89)  @3σ0.1: 27.05 (14.44)  195.8 min
step 64000  loss 0.2761  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.50 (23.27)  @1σ0.1: 28.19 (14.56)  @2σ0.01: 41.83 (32.12)  @2σ0.03: 34.72 (22.83)  @2σ0.1: 28.02 (14.46)  @3σ0.01: 38.47 (31.07)  @3σ0.03: 34.96 (22.89)  @3σ0.1: 26.67 (14.44)  223.8 min
step 72000  loss 0.2753  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.58 (23.27)  @1σ0.1: 28.65 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.76 (22.83)  @2σ0.1: 28.39 (14.46)  @3σ0.01: 38.50 (31.07)  @3σ0.03: 35.00 (22.89)  @3σ0.1: 27.08 (14.44)  251.9 min
step 80000  loss 0.2744  @1σ0.01: 48.00 (38.19)  @1σ0.03: 38.61 (23.27)  @1σ0.1: 28.15 (14.56)  @2σ0.01: 41.88 (32.12)  @2σ0.03: 34.76 (22.83)  @2σ0.1: 28.26 (14.46)  @3σ0.01: 38.53 (31.07)  @3σ0.03: 35.03 (22.89)  @3σ0.1: 26.93 (14.44)  279.9 min
step 88000  loss 0.2732  @1σ0.01: 48.02 (38.19)  @1σ0.03: 38.72 (23.28)  @1σ0.1: 28.78 (14.56)  @2σ0.01: 41.90 (32.12)  @2σ0.03: 34.81 (22.85)  @2σ0.1: 28.45 (14.46)  @3σ0.01: 38.55 (31.07)  @3σ0.03: 35.06 (22.89)  @3σ0.1: 27.21 (14.44)  307.9 min
