426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
1.97 M parameters
step 2000  loss 0.4367  @1σ0.01: 41.08 (38.19)  @1σ0.03: 32.99 (23.27)  @1σ0.1: 23.30 (14.56)  @2σ0.01: 36.84 (32.12)  @2σ0.03: 31.32 (22.83)  @2σ0.1: 23.22 (14.46)  @3σ0.01: 33.34 (31.07)  @3σ0.03: 30.67 (22.89)  @3σ0.1: 23.19 (14.44)  2.3 min
step 4000  loss 0.3854  @1σ0.01: 42.50 (38.19)  @1σ0.03: 33.09 (23.27)  @1σ0.1: 22.86 (14.56)  @2σ0.01: 37.77 (32.12)  @2σ0.03: 31.47 (22.83)  @2σ0.1: 22.88 (14.46)  @3σ0.01: 34.63 (31.07)  @3σ0.03: 31.00 (22.89)  @3σ0.1: 22.71 (14.44)  4.5 min
step 6000  loss 0.3452  @1σ0.01: 43.24 (38.19)  @1σ0.03: 33.91 (23.27)  @1σ0.1: 24.17 (14.56)  @2σ0.01: 38.57 (32.12)  @2σ0.03: 32.06 (22.83)  @2σ0.1: 23.97 (14.46)  @3σ0.01: 35.41 (31.07)  @3σ0.03: 31.68 (22.89)  @3σ0.1: 23.59 (14.44)  6.8 min
step 8000  loss 0.2995  @1σ0.01: 44.92 (38.19)  @1σ0.03: 35.20 (23.27)  @1σ0.1: 25.08 (14.56)  @2σ0.01: 39.39 (32.12)  @2σ0.03: 32.84 (22.83)  @2σ0.1: 24.83 (14.46)  @3σ0.01: 35.95 (31.07)  @3σ0.03: 32.55 (22.89)  @3σ0.1: 24.31 (14.44)  9.0 min
step 10000  loss 0.2850  @1σ0.01: 46.85 (38.19)  @1σ0.03: 36.11 (23.27)  @1σ0.1: 26.48 (14.56)  @2σ0.01: 40.00 (32.12)  @2σ0.03: 33.36 (22.83)  @2σ0.1: 26.06 (14.46)  @3σ0.01: 36.42 (31.07)  @3σ0.03: 33.14 (22.89)  @3σ0.1: 25.27 (14.44)  11.2 min
step 12000  loss 0.2656  @1σ0.01: 47.12 (38.19)  @1σ0.03: 36.62 (23.27)  @1σ0.1: 26.70 (14.56)  @2σ0.01: 40.39 (32.12)  @2σ0.03: 33.66 (22.83)  @2σ0.1: 26.33 (14.46)  @3σ0.01: 36.79 (31.07)  @3σ0.03: 33.48 (22.89)  @3σ0.1: 25.39 (14.44)  13.4 min
step 14000  loss 0.2688  @1σ0.01: 47.27 (38.19)  @1σ0.03: 36.93 (23.27)  @1σ0.1: 26.83 (14.56)  @2σ0.01: 40.60 (32.12)  @2σ0.03: 33.81 (22.83)  @2σ0.1: 26.53 (14.46)  @3σ0.01: 37.02 (31.07)  @3σ0.03: 33.68 (22.89)  @3σ0.1: 25.48 (14.44)  15.6 min
step 16000  loss 0.2511  @1σ0.01: 47.35 (38.19)  @1σ0.03: 37.17 (23.27)  @1σ0.1: 27.22 (14.56)  @2σ0.01: 40.76 (32.12)  @2σ0.03: 33.94 (22.83)  @2σ0.1: 26.86 (14.46)  @3σ0.01: 37.19 (31.07)  @3σ0.03: 33.84 (22.89)  @3σ0.1: 25.76 (14.44)  17.8 min
step 18000  loss 0.2454  @1σ0.01: 47.43 (38.18)  @1σ0.03: 37.33 (23.27)  @1σ0.1: 27.37 (14.56)  @2σ0.01: 40.88 (32.12)  @2σ0.03: 34.03 (22.83)  @2σ0.1: 27.07 (14.46)  @3σ0.01: 37.31 (31.07)  @3σ0.03: 33.95 (22.89)  @3σ0.1: 25.92 (14.44)  20.0 min
step 20000  loss 0.2377  @1σ0.01: 47.50 (38.19)  @1σ0.03: 37.49 (23.27)  @1σ0.1: 27.42 (14.56)  @2σ0.01: 40.99 (32.12)  @2σ0.03: 34.11 (22.83)  @2σ0.1: 27.17 (14.46)  @3σ0.01: 37.42 (31.07)  @3σ0.03: 34.06 (22.89)  @3σ0.1: 25.88 (14.44)  22.2 min
step 22000  loss 0.2524  @1σ0.01: 47.54 (38.18)  @1σ0.03: 37.60 (23.27)  @1σ0.1: 27.48 (14.56)  @2σ0.01: 41.05 (32.12)  @2σ0.03: 34.18 (22.83)  @2σ0.1: 27.28 (14.46)  @3σ0.01: 37.50 (31.07)  @3σ0.03: 34.14 (22.89)  @3σ0.1: 25.96 (14.44)  24.4 min
step 24000  loss 0.2378  @1σ0.01: 47.56 (38.18)  @1σ0.03: 37.68 (23.27)  @1σ0.1: 27.66 (14.56)  @2σ0.01: 41.10 (32.12)  @2σ0.03: 34.22 (22.83)  @2σ0.1: 27.43 (14.46)  @3σ0.01: 37.56 (31.07)  @3σ0.03: 34.21 (22.89)  @3σ0.1: 26.07 (14.44)  26.6 min
step 26000  loss 0.2331  @1σ0.01: 47.59 (38.19)  @1σ0.03: 37.76 (23.27)  @1σ0.1: 28.03 (14.56)  @2σ0.01: 41.15 (32.12)  @2σ0.03: 34.26 (22.83)  @2σ0.1: 27.67 (14.46)  @3σ0.01: 37.62 (31.07)  @3σ0.03: 34.26 (22.89)  @3σ0.1: 26.35 (14.44)  28.9 min
step 28000  loss 0.2314  @1σ0.01: 47.63 (38.19)  @1σ0.03: 37.83 (23.27)  @1σ0.1: 28.18 (14.56)  @2σ0.01: 41.19 (32.12)  @2σ0.03: 34.30 (22.83)  @2σ0.1: 27.80 (14.46)  @3σ0.01: 37.67 (31.07)  @3σ0.03: 34.32 (22.89)  @3σ0.1: 26.49 (14.44)  31.1 min
step 30000  loss 0.2287  @1σ0.01: 47.66 (38.19)  @1σ0.03: 37.90 (23.27)  @1σ0.1: 28.37 (14.56)  @2σ0.01: 41.24 (32.12)  @2σ0.03: 34.33 (22.83)  @2σ0.1: 27.96 (14.46)  @3σ0.01: 37.72 (31.07)  @3σ0.03: 34.36 (22.89)  @3σ0.1: 26.59 (14.44)  33.3 min
