624 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
9031 MP of training mosaic
5.07 M parameters
step 4000  loss 0.3622  @1σ0.01: 47.07 (38.19)  @1σ0.03: 36.38 (23.27)  @1σ0.1: 25.17 (14.56)  @2σ0.01: 40.61 (32.12)  @2σ0.03: 33.52 (22.83)  @2σ0.1: 25.14 (14.46)  @3σ0.01: 37.32 (31.07)  @3σ0.03: 33.48 (22.89)  @3σ0.1: 24.71 (14.44)  20.2 min
step 8000  loss 0.3112  @1σ0.01: 47.75 (38.18)  @1σ0.03: 37.92 (23.27)  @1σ0.1: 26.20 (14.56)  @2σ0.01: 41.52 (32.12)  @2σ0.03: 34.43 (22.83)  @2σ0.1: 26.13 (14.46)  @3σ0.01: 38.15 (31.07)  @3σ0.03: 34.54 (22.89)  @3σ0.1: 25.34 (14.44)  40.2 min
step 12000  loss 0.2946  @1σ0.01: 47.91 (38.19)  @1σ0.03: 38.31 (23.28)  @1σ0.1: 27.03 (14.56)  @2σ0.01: 41.73 (32.12)  @2σ0.03: 34.64 (22.83)  @2σ0.1: 27.07 (14.46)  @3σ0.01: 38.41 (31.07)  @3σ0.03: 34.82 (22.89)  @3σ0.1: 25.96 (14.44)  60.3 min
step 16000  loss 0.3072  @1σ0.01: 47.96 (38.18)  @1σ0.03: 38.38 (23.27)  @1σ0.1: 27.59 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.72 (22.83)  @2σ0.1: 27.51 (14.46)  @3σ0.01: 38.52 (31.07)  @3σ0.03: 34.93 (22.89)  @3σ0.1: 26.20 (14.44)  80.3 min
step 20000  loss 0.2861  @1σ0.01: 48.01 (38.18)  @1σ0.03: 38.50 (23.27)  @1σ0.1: 27.38 (14.56)  @2σ0.01: 41.92 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 27.57 (14.46)  @3σ0.01: 38.58 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 26.25 (14.44)  100.3 min
step 24000  loss 0.2827  @1σ0.01: 48.03 (38.18)  @1σ0.03: 38.57 (23.27)  @1σ0.1: 27.33 (14.56)  @2σ0.01: 41.96 (32.12)  @2σ0.03: 34.81 (22.83)  @2σ0.1: 27.56 (14.46)  @3σ0.01: 38.61 (31.07)  @3σ0.03: 35.08 (22.89)  @3σ0.1: 26.22 (14.44)  120.4 min
step 28000  loss 0.2856  @1σ0.01: 48.05 (38.18)  @1σ0.03: 38.60 (23.27)  @1σ0.1: 27.57 (14.56)  @2σ0.01: 41.99 (32.12)  @2σ0.03: 34.84 (22.83)  @2σ0.1: 27.79 (14.46)  @3σ0.01: 38.64 (31.07)  @3σ0.03: 35.11 (22.89)  @3σ0.1: 26.53 (14.44)  140.4 min
step 32000  loss 0.2720  @1σ0.01: 48.07 (38.19)  @1σ0.03: 38.69 (23.27)  @1σ0.1: 28.06 (14.56)  @2σ0.01: 42.01 (32.12)  @2σ0.03: 34.88 (22.83)  @2σ0.1: 28.21 (14.46)  @3σ0.01: 38.67 (31.07)  @3σ0.03: 35.17 (22.89)  @3σ0.1: 27.03 (14.44)  160.4 min
step 36000  loss 0.2661  @1σ0.01: 48.09 (38.18)  @1σ0.03: 38.69 (23.27)  @1σ0.1: 28.17 (14.56)  @2σ0.01: 42.04 (32.12)  @2σ0.03: 34.89 (22.83)  @2σ0.1: 28.48 (14.46)  @3σ0.01: 38.69 (31.07)  @3σ0.03: 35.18 (22.89)  @3σ0.1: 27.12 (14.44)  180.3 min
step 40000  loss 0.2699  @1σ0.01: 48.10 (38.18)  @1σ0.03: 38.79 (23.27)  @1σ0.1: 29.00 (14.56)  @2σ0.01: 42.07 (32.12)  @2σ0.03: 34.93 (22.83)  @2σ0.1: 28.74 (14.46)  @3σ0.01: 38.71 (31.07)  @3σ0.03: 35.23 (22.89)  @3σ0.1: 27.31 (14.44)  200.4 min
step 44000  loss 0.2685  @1σ0.01: 48.11 (38.18)  @1σ0.03: 38.77 (23.27)  @1σ0.1: 28.96 (14.56)  @2σ0.01: 42.07 (32.12)  @2σ0.03: 34.96 (22.83)  @2σ0.1: 29.01 (14.46)  @3σ0.01: 38.73 (31.07)  @3σ0.03: 35.25 (22.89)  @3σ0.1: 27.66 (14.44)  220.4 min
