624 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
9031 MP of training mosaic
5.07 M parameters
step 8000  loss 0.3140  @1σ0.01: 47.68 (38.19)  @1σ0.03: 37.73 (23.27)  @1σ0.1: 27.07 (14.56)  @2σ0.01: 41.43 (32.12)  @2σ0.03: 34.35 (22.83)  @2σ0.1: 26.78 (14.46)  @3σ0.01: 38.11 (31.07)  @3σ0.03: 34.45 (22.89)  @3σ0.1: 25.92 (14.44)  40.5 min
step 16000  loss 0.2944  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.40 (23.27)  @1σ0.1: 27.76 (14.56)  @2σ0.01: 41.84 (32.12)  @2σ0.03: 34.73 (22.83)  @2σ0.1: 27.77 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 34.97 (22.89)  @3σ0.1: 26.48 (14.44)  80.7 min
step 24000  loss 0.2879  @1σ0.01: 48.03 (38.19)  @1σ0.03: 38.62 (23.28)  @1σ0.1: 28.03 (14.56)  @2σ0.01: 41.95 (32.12)  @2σ0.03: 34.83 (22.83)  @2σ0.1: 27.99 (14.46)  @3σ0.01: 38.64 (31.07)  @3σ0.03: 35.09 (22.89)  @3σ0.1: 26.61 (14.44)  120.9 min
step 32000  loss 0.2760  @1σ0.01: 48.07 (38.19)  @1σ0.03: 38.69 (23.27)  @1σ0.1: 28.45 (14.56)  @2σ0.01: 42.01 (32.12)  @2σ0.03: 34.90 (22.83)  @2σ0.1: 28.23 (14.46)  @3σ0.01: 38.68 (31.07)  @3σ0.03: 35.15 (22.89)  @3σ0.1: 26.94 (14.44)  161.1 min
step 40000  loss 0.2727  @1σ0.01: 48.08 (38.18)  @1σ0.03: 38.82 (23.28)  @1σ0.1: 28.62 (14.56)  @2σ0.01: 42.02 (32.12)  @2σ0.03: 34.93 (22.83)  @2σ0.1: 28.38 (14.46)  @3σ0.01: 38.72 (31.07)  @3σ0.03: 35.19 (22.89)  @3σ0.1: 27.01 (14.44)  201.3 min
step 48000  loss 0.2672  @1σ0.01: 48.11 (38.19)  @1σ0.03: 38.85 (23.29)  @1σ0.1: 28.93 (14.56)  @2σ0.01: 42.05 (32.12)  @2σ0.03: 34.95 (22.83)  @2σ0.1: 28.62 (14.46)  @3σ0.01: 38.74 (31.07)  @3σ0.03: 35.23 (22.89)  @3σ0.1: 27.28 (14.44)  241.5 min
step 56000  loss 0.2683  @1σ0.01: 48.12 (38.19)  @1σ0.03: 38.86 (23.27)  @1σ0.1: 29.36 (14.56)  @2σ0.01: 42.07 (32.12)  @2σ0.03: 34.97 (22.83)  @2σ0.1: 28.87 (14.46)  @3σ0.01: 38.77 (31.07)  @3σ0.03: 35.27 (22.89)  @3σ0.1: 27.59 (14.44)  281.6 min
step 64000  loss 0.2637  @1σ0.01: 48.13 (38.18)  @1σ0.03: 38.90 (23.27)  @1σ0.1: 28.93 (14.56)  @2σ0.01: 42.08 (32.12)  @2σ0.03: 34.99 (22.83)  @2σ0.1: 28.89 (14.46)  @3σ0.01: 38.79 (31.07)  @3σ0.03: 35.29 (22.89)  @3σ0.1: 27.61 (14.44)  321.9 min
step 72000  loss 0.2652  @1σ0.01: 48.15 (38.19)  @1σ0.03: 38.99 (23.28)  @1σ0.1: 28.71 (14.56)  @2σ0.01: 42.09 (32.12)  @2σ0.03: 35.01 (22.83)  @2σ0.1: 28.69 (14.46)  @3σ0.01: 38.80 (31.07)  @3σ0.03: 35.30 (22.89)  @3σ0.1: 27.51 (14.44)  362.2 min
step 80000  loss 0.2634  @1σ0.01: 48.15 (38.19)  @1σ0.03: 39.01 (23.28)  @1σ0.1: 28.86 (14.56)  @2σ0.01: 42.10 (32.12)  @2σ0.03: 35.02 (22.83)  @2σ0.1: 28.96 (14.46)  @3σ0.01: 38.82 (31.07)  @3σ0.03: 35.31 (22.89)  @3σ0.1: 27.61 (14.44)  402.3 min
step 88000  loss 0.2618  @1σ0.01: 48.14 (38.18)  @1σ0.03: 38.98 (23.27)  @1σ0.1: 28.89 (14.56)  @2σ0.01: 42.10 (32.12)  @2σ0.03: 35.04 (22.83)  @2σ0.1: 29.02 (14.46)  @3σ0.01: 38.81 (31.07)  @3σ0.03: 35.32 (22.89)  @3σ0.1: 27.74 (14.44)  442.5 min
