624 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
9031 MP of training mosaic
2.26 M parameters
step 4000  loss 0.4308  @1σ0.01: 45.35 (38.19)  @1σ0.03: 33.78 (23.27)  @1σ0.1: 24.44 (14.56)  @2σ0.01: 38.75 (32.12)  @2σ0.03: 32.00 (22.83)  @2σ0.1: 24.35 (14.46)  @3σ0.01: 35.92 (31.07)  @3σ0.03: 31.77 (22.89)  @3σ0.1: 24.13 (14.44)  13.6 min
step 8000  loss 0.3695  @1σ0.01: 47.18 (38.18)  @1σ0.03: 36.50 (23.27)  @1σ0.1: 25.84 (14.56)  @2σ0.01: 40.76 (32.12)  @2σ0.03: 33.58 (22.83)  @2σ0.1: 25.67 (14.46)  @3σ0.01: 37.50 (31.07)  @3σ0.03: 33.59 (22.89)  @3σ0.1: 25.26 (14.44)  25.3 min
step 12000  loss 0.3496  @1σ0.01: 47.53 (38.19)  @1σ0.03: 37.35 (23.27)  @1σ0.1: 25.86 (14.56)  @2σ0.01: 41.18 (32.12)  @2σ0.03: 34.08 (22.83)  @2σ0.1: 25.75 (14.46)  @3σ0.01: 37.85 (31.07)  @3σ0.03: 34.18 (22.89)  @3σ0.1: 25.23 (14.44)  36.9 min
step 16000  loss 0.3460  @1σ0.01: 47.69 (38.18)  @1σ0.03: 37.69 (23.27)  @1σ0.1: 26.43 (14.56)  @2σ0.01: 41.45 (32.12)  @2σ0.03: 34.29 (22.83)  @2σ0.1: 26.23 (14.46)  @3σ0.01: 38.09 (31.07)  @3σ0.03: 34.43 (22.89)  @3σ0.1: 25.56 (14.44)  48.4 min
step 20000  loss 0.3295  @1σ0.01: 47.79 (38.18)  @1σ0.03: 37.99 (23.28)  @1σ0.1: 26.58 (14.56)  @2σ0.01: 41.58 (32.12)  @2σ0.03: 34.43 (22.83)  @2σ0.1: 26.23 (14.46)  @3σ0.01: 38.24 (31.07)  @3σ0.03: 34.60 (22.89)  @3σ0.1: 25.53 (14.44)  59.8 min
step 24000  loss 0.3144  @1σ0.01: 47.84 (38.19)  @1σ0.03: 38.03 (23.27)  @1σ0.1: 27.13 (14.56)  @2σ0.01: 41.65 (32.12)  @2σ0.03: 34.48 (22.83)  @2σ0.1: 26.72 (14.46)  @3σ0.01: 38.33 (31.07)  @3σ0.03: 34.68 (22.89)  @3σ0.1: 26.08 (14.44)  71.2 min
step 28000  loss 0.3124  @1σ0.01: 47.89 (38.19)  @1σ0.03: 38.19 (23.28)  @1σ0.1: 27.00 (14.56)  @2σ0.01: 41.73 (32.12)  @2σ0.03: 34.55 (22.83)  @2σ0.1: 26.71 (14.46)  @3σ0.01: 38.40 (31.07)  @3σ0.03: 34.76 (22.89)  @3σ0.1: 26.00 (14.44)  82.7 min
step 32000  loss 0.3092  @1σ0.01: 47.91 (38.19)  @1σ0.03: 38.21 (23.27)  @1σ0.1: 27.11 (14.56)  @2σ0.01: 41.76 (32.12)  @2σ0.03: 34.58 (22.83)  @2σ0.1: 26.91 (14.46)  @3σ0.01: 38.43 (31.07)  @3σ0.03: 34.81 (22.89)  @3σ0.1: 26.04 (14.44)  94.2 min
step 36000  loss 0.2873  @1σ0.01: 47.93 (38.18)  @1σ0.03: 38.26 (23.27)  @1σ0.1: 27.02 (14.56)  @2σ0.01: 41.81 (32.12)  @2σ0.03: 34.60 (22.83)  @2σ0.1: 26.92 (14.46)  @3σ0.01: 38.47 (31.07)  @3σ0.03: 34.84 (22.89)  @3σ0.1: 26.00 (14.44)  105.6 min
step 40000  loss 0.2980  @1σ0.01: 47.95 (38.18)  @1σ0.03: 38.34 (23.27)  @1σ0.1: 26.77 (14.56)  @2σ0.01: 41.83 (32.12)  @2σ0.03: 34.67 (22.83)  @2σ0.1: 26.75 (14.46)  @3σ0.01: 38.50 (31.07)  @3σ0.03: 34.90 (22.89)  @3σ0.1: 25.77 (14.44)  117.0 min
step 44000  loss 0.2921  @1σ0.01: 47.96 (38.18)  @1σ0.03: 38.49 (23.28)  @1σ0.1: 27.07 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.70 (22.83)  @2σ0.1: 27.05 (14.46)  @3σ0.01: 38.52 (31.07)  @3σ0.03: 34.95 (22.89)  @3σ0.1: 26.05 (14.44)  128.5 min
