426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.26 M parameters
step 8000  loss 0.3053  @1σ0.01: 47.65 (38.19)  @1σ0.03: 37.55 (23.27)  @1σ0.1: 26.89 (14.56)  @2σ0.01: 41.26 (32.12)  @2σ0.03: 34.11 (22.83)  @2σ0.1: 26.65 (14.46)  @3σ0.01: 37.83 (31.07)  @3σ0.03: 34.21 (22.89)  @3σ0.1: 25.68 (14.44)  19.3 min
step 16000  loss 0.2782  @1σ0.01: 47.90 (38.19)  @1σ0.03: 38.21 (23.27)  @1σ0.1: 27.93 (14.56)  @2σ0.01: 41.68 (32.12)  @2σ0.03: 34.54 (22.83)  @2σ0.1: 27.65 (14.46)  @3σ0.01: 38.32 (31.07)  @3σ0.03: 34.72 (22.89)  @3σ0.1: 26.40 (14.44)  38.6 min
step 24000  loss 0.2751  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.44 (23.27)  @1σ0.1: 28.14 (14.56)  @2σ0.01: 41.83 (32.12)  @2σ0.03: 34.69 (22.83)  @2σ0.1: 27.91 (14.46)  @3σ0.01: 38.47 (31.07)  @3σ0.03: 34.93 (22.89)  @3σ0.1: 26.58 (14.44)  57.8 min
step 32000  loss 0.2630  @1σ0.01: 48.00 (38.19)  @1σ0.03: 38.55 (23.27)  @1σ0.1: 28.67 (14.56)  @2σ0.01: 41.90 (32.12)  @2σ0.03: 34.76 (22.83)  @2σ0.1: 28.28 (14.46)  @3σ0.01: 38.55 (31.07)  @3σ0.03: 35.04 (22.89)  @3σ0.1: 27.02 (14.44)  77.0 min
step 40000  loss 0.2646  @1σ0.01: 48.05 (38.19)  @1σ0.03: 38.66 (23.27)  @1σ0.1: 28.41 (14.56)  @2σ0.01: 41.94 (32.12)  @2σ0.03: 34.82 (22.83)  @2σ0.1: 28.05 (14.46)  @3σ0.01: 38.60 (31.07)  @3σ0.03: 35.10 (22.89)  @3σ0.1: 26.81 (14.44)  96.3 min
step 48000  loss 0.2611  @1σ0.01: 48.08 (38.19)  @1σ0.03: 38.74 (23.27)  @1σ0.1: 28.57 (14.56)  @2σ0.01: 41.98 (32.12)  @2σ0.03: 34.87 (22.83)  @2σ0.1: 28.25 (14.46)  @3σ0.01: 38.64 (31.07)  @3σ0.03: 35.14 (22.89)  @3σ0.1: 27.02 (14.44)  115.5 min
step 56000  loss 0.2529  @1σ0.01: 48.10 (38.19)  @1σ0.03: 38.79 (23.27)  @1σ0.1: 29.06 (14.56)  @2σ0.01: 41.99 (32.12)  @2σ0.03: 34.89 (22.83)  @2σ0.1: 28.58 (14.46)  @3σ0.01: 38.65 (31.07)  @3σ0.03: 35.16 (22.89)  @3σ0.1: 27.40 (14.44)  134.7 min
step 64000  loss 0.2554  @1σ0.01: 48.11 (38.19)  @1σ0.03: 38.81 (23.27)  @1σ0.1: 28.86 (14.56)  @2σ0.01: 42.01 (32.12)  @2σ0.03: 34.91 (22.83)  @2σ0.1: 28.40 (14.46)  @3σ0.01: 38.66 (31.07)  @3σ0.03: 35.18 (22.89)  @3σ0.1: 27.15 (14.44)  154.0 min
step 72000  loss 0.2516  @1σ0.01: 48.10 (38.18)  @1σ0.03: 38.88 (23.27)  @1σ0.1: 29.00 (14.56)  @2σ0.01: 42.02 (32.12)  @2σ0.03: 34.93 (22.83)  @2σ0.1: 28.50 (14.46)  @3σ0.01: 38.68 (31.07)  @3σ0.03: 35.22 (22.89)  @3σ0.1: 27.34 (14.44)  173.2 min
step 80000  loss 0.2484  @1σ0.01: 48.09 (38.17)  @1σ0.03: 38.87 (23.27)  @1σ0.1: 29.43 (14.56)  @2σ0.01: 42.03 (32.12)  @2σ0.03: 34.93 (22.83)  @2σ0.1: 28.74 (14.46)  @3σ0.01: 38.70 (31.07)  @3σ0.03: 35.22 (22.89)  @3σ0.1: 27.71 (14.44)  192.5 min
step 88000  loss 0.2436  @1σ0.01: 48.10 (38.19)  @1σ0.03: 38.89 (23.27)  @1σ0.1: 29.06 (14.56)  @2σ0.01: 42.03 (32.12)  @2σ0.03: 34.95 (22.83)  @2σ0.1: 28.50 (14.46)  @3σ0.01: 38.71 (31.07)  @3σ0.03: 35.23 (22.89)  @3σ0.1: 27.60 (14.44)  211.7 min
step 96000  loss 0.2474  @1σ0.01: 48.13 (38.18)  @1σ0.03: 38.92 (23.27)  @1σ0.1: 29.40 (14.56)  @2σ0.01: 42.05 (32.12)  @2σ0.03: 34.95 (22.83)  @2σ0.1: 28.70 (14.46)  @3σ0.01: 38.72 (31.07)  @3σ0.03: 35.25 (22.89)  @3σ0.1: 27.71 (14.44)  230.9 min
step 104000  loss 0.2412  @1σ0.01: 48.13 (38.19)  @1σ0.03: 38.92 (23.27)  @1σ0.1: 29.79 (14.56)  @2σ0.01: 42.06 (32.12)  @2σ0.03: 34.95 (22.83)  @2σ0.1: 28.85 (14.46)  @3σ0.01: 38.73 (31.07)  @3σ0.03: 35.25 (22.89)  @3σ0.1: 28.08 (14.44)  250.2 min
step 112000  loss 0.2429  @1σ0.01: 48.11 (38.18)  @1σ0.03: 38.94 (23.27)  @1σ0.1: 30.17 (14.56)  @2σ0.01: 42.06 (32.12)  @2σ0.03: 34.96 (22.83)  @2σ0.1: 29.17 (14.46)  @3σ0.01: 38.74 (31.07)  @3σ0.03: 35.24 (22.89)  @3σ0.1: 28.33 (14.44)  269.4 min
step 120000  loss 0.2410  @1σ0.01: 48.12 (38.18)  @1σ0.03: 38.96 (23.27)  @1σ0.1: 29.68 (14.56)  @2σ0.01: 42.07 (32.12)  @2σ0.03: 34.95 (22.83)  @2σ0.1: 28.86 (14.46)  @3σ0.01: 38.75 (31.07)  @3σ0.03: 35.26 (22.89)  @3σ0.1: 28.01 (14.44)  288.7 min
step 128000  loss 0.2415  @1σ0.01: 48.14 (38.19)  @1σ0.03: 38.98 (23.27)  @1σ0.1: 30.14 (14.56)  @2σ0.01: 42.09 (32.12)  @2σ0.03: 34.97 (22.83)  @2σ0.1: 29.24 (14.46)  @3σ0.01: 38.75 (31.07)  @3σ0.03: 35.27 (22.89)  @3σ0.1: 28.38 (14.44)  307.9 min
step 136000  loss 0.2364  @1σ0.01: 48.16 (38.19)  @1σ0.03: 38.99 (23.27)  @1σ0.1: 29.89 (14.56)  @2σ0.01: 42.09 (32.12)  @2σ0.03: 34.97 (22.83)  @2σ0.1: 28.93 (14.46)  @3σ0.01: 38.76 (31.07)  @3σ0.03: 35.27 (22.89)  @3σ0.1: 28.21 (14.44)  327.6 min
step 144000  loss 0.2372  @1σ0.01: 48.18 (38.19)  @1σ0.03: 39.01 (23.27)  @1σ0.1: 30.26 (14.56)  @2σ0.01: 42.10 (32.12)  @2σ0.03: 35.01 (22.83)  @2σ0.1: 29.06 (14.46)  @3σ0.01: 38.76 (31.07)  @3σ0.03: 35.31 (22.89)  @3σ0.1: 28.49 (14.44)  348.2 min
426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.26 M parameters
step 152000  loss 0.2441  @1σ0.01: 48.17 (38.19)  @1σ0.03: 39.03 (23.27)  @1σ0.1: 30.54 (14.56)  @2σ0.01: 42.11 (32.12)  @2σ0.03: 34.99 (22.83)  @2σ0.1: 29.36 (14.46)  @3σ0.01: 38.77 (31.07)  @3σ0.03: 35.31 (22.89)  @3σ0.1: 28.70 (14.44)  19.6 min
