426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
1.97 M parameters
step 2000  loss 0.6194  @1σ0.01: 40.89 (38.19)  @1σ0.03: 33.47 (23.27)  @1σ0.1: 24.46 (14.56)  @2σ0.01: 36.74 (32.12)  @2σ0.03: 31.48 (22.83)  @2σ0.1: 24.06 (14.46)  @3σ0.01: 32.89 (31.07)  @3σ0.03: 30.87 (22.89)  @3σ0.1: 23.79 (14.44)  2.6 min
step 4000  loss 0.4894  @1σ0.01: 43.69 (38.19)  @1σ0.03: 33.96 (23.27)  @1σ0.1: 24.73 (14.56)  @2σ0.01: 37.91 (32.12)  @2σ0.03: 32.02 (22.83)  @2σ0.1: 24.43 (14.46)  @3σ0.01: 34.48 (31.07)  @3σ0.03: 31.55 (22.89)  @3σ0.1: 24.02 (14.44)  5.1 min
step 6000  loss 0.4534  @1σ0.01: 46.20 (38.19)  @1σ0.03: 35.01 (23.27)  @1σ0.1: 24.85 (14.56)  @2σ0.01: 39.07 (32.12)  @2σ0.03: 32.71 (22.83)  @2σ0.1: 24.68 (14.46)  @3σ0.01: 35.70 (31.07)  @3σ0.03: 32.41 (22.89)  @3σ0.1: 24.08 (14.44)  7.6 min
step 8000  loss 0.4218  @1σ0.01: 46.67 (38.19)  @1σ0.03: 35.57 (23.27)  @1σ0.1: 25.36 (14.56)  @2σ0.01: 39.81 (32.12)  @2σ0.03: 33.06 (22.83)  @2σ0.1: 25.20 (14.46)  @3σ0.01: 36.46 (31.07)  @3σ0.03: 32.87 (22.89)  @3σ0.1: 24.52 (14.44)  10.2 min
step 10000  loss 0.4110  @1σ0.01: 46.93 (38.18)  @1σ0.03: 36.12 (23.27)  @1σ0.1: 25.89 (14.56)  @2σ0.01: 40.25 (32.12)  @2σ0.03: 33.38 (22.83)  @2σ0.1: 25.73 (14.46)  @3σ0.01: 36.86 (31.07)  @3σ0.03: 33.25 (22.89)  @3σ0.1: 24.97 (14.44)  12.7 min
step 12000  loss 0.3844  @1σ0.01: 47.20 (38.18)  @1σ0.03: 36.63 (23.27)  @1σ0.1: 26.55 (14.56)  @2σ0.01: 40.61 (32.12)  @2σ0.03: 33.65 (22.83)  @2σ0.1: 26.37 (14.46)  @3σ0.01: 37.19 (31.07)  @3σ0.03: 33.57 (22.89)  @3σ0.1: 25.40 (14.44)  15.2 min
step 14000  loss 0.3731  @1σ0.01: 47.33 (38.19)  @1σ0.03: 36.97 (23.27)  @1σ0.1: 26.72 (14.56)  @2σ0.01: 40.81 (32.12)  @2σ0.03: 33.83 (22.83)  @2σ0.1: 26.50 (14.46)  @3σ0.01: 37.38 (31.07)  @3σ0.03: 33.77 (22.89)  @3σ0.1: 25.44 (14.44)  17.7 min
step 16000  loss 0.3536  @1σ0.01: 47.39 (38.19)  @1σ0.03: 37.19 (23.27)  @1σ0.1: 27.24 (14.56)  @2σ0.01: 40.94 (32.12)  @2σ0.03: 33.94 (22.83)  @2σ0.1: 26.98 (14.46)  @3σ0.01: 37.51 (31.07)  @3σ0.03: 33.91 (22.89)  @3σ0.1: 25.80 (14.44)  20.2 min
step 18000  loss 0.3572  @1σ0.01: 47.46 (38.19)  @1σ0.03: 37.34 (23.27)  @1σ0.1: 27.35 (14.56)  @2σ0.01: 41.03 (32.12)  @2σ0.03: 34.03 (22.83)  @2σ0.1: 27.13 (14.46)  @3σ0.01: 37.60 (31.07)  @3σ0.03: 34.01 (22.89)  @3σ0.1: 25.89 (14.44)  22.7 min
step 20000  loss 0.3346  @1σ0.01: 47.49 (38.19)  @1σ0.03: 37.46 (23.27)  @1σ0.1: 27.38 (14.56)  @2σ0.01: 41.09 (32.12)  @2σ0.03: 34.10 (22.83)  @2σ0.1: 27.19 (14.46)  @3σ0.01: 37.67 (31.07)  @3σ0.03: 34.09 (22.89)  @3σ0.1: 25.87 (14.44)  25.3 min
step 22000  loss 0.3458  @1σ0.01: 47.52 (38.19)  @1σ0.03: 37.57 (23.27)  @1σ0.1: 27.53 (14.56)  @2σ0.01: 41.14 (32.12)  @2σ0.03: 34.16 (22.83)  @2σ0.1: 27.38 (14.46)  @3σ0.01: 37.74 (31.07)  @3σ0.03: 34.16 (22.89)  @3σ0.1: 26.05 (14.44)  27.8 min
