228 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
3695 MP of training mosaic
1.96 M parameters
step 2000  loss 0.4193  @1σ0.01: 39.68 (38.19)  @1σ0.03: 33.36 (23.27)  @1σ0.1: 25.52 (14.56)  @2σ0.01: 36.10 (32.12)  @2σ0.03: 31.24 (22.83)  @2σ0.1: 25.00 (14.46)  @3σ0.01: 32.26 (31.07)  @3σ0.03: 30.62 (22.89)  @3σ0.1: 24.76 (14.44)  2.0 min
step 4000  loss 0.3375  @1σ0.01: 42.39 (38.19)  @1σ0.03: 35.18 (23.27)  @1σ0.1: 27.69 (14.56)  @2σ0.01: 38.12 (32.12)  @2σ0.03: 32.53 (22.83)  @2σ0.1: 26.77 (14.46)  @3σ0.01: 34.34 (31.07)  @3σ0.03: 32.11 (22.89)  @3σ0.1: 26.44 (14.44)  3.6 min
step 6000  loss 0.3381  @1σ0.01: 46.20 (38.19)  @1σ0.03: 36.10 (23.27)  @1σ0.1: 29.18 (14.56)  @2σ0.01: 39.00 (32.12)  @2σ0.03: 33.08 (22.83)  @2σ0.1: 27.97 (14.46)  @3σ0.01: 35.21 (31.07)  @3σ0.03: 32.76 (22.89)  @3σ0.1: 27.50 (14.44)  5.2 min
step 8000  loss 0.2933  @1σ0.01: 46.67 (38.19)  @1σ0.03: 36.69 (23.27)  @1σ0.1: 30.10 (14.56)  @2σ0.01: 39.64 (32.12)  @2σ0.03: 33.48 (22.83)  @2σ0.1: 28.82 (14.46)  @3σ0.01: 35.83 (31.07)  @3σ0.03: 33.21 (22.89)  @3σ0.1: 28.17 (14.44)  6.7 min
step 10000  loss 0.2719  @1σ0.01: 46.95 (38.19)  @1σ0.03: 37.15 (23.27)  @1σ0.1: 30.48 (14.56)  @2σ0.01: 40.05 (32.12)  @2σ0.03: 33.73 (22.83)  @2σ0.1: 29.16 (14.46)  @3σ0.01: 36.28 (31.07)  @3σ0.03: 33.54 (22.89)  @3σ0.1: 28.49 (14.44)  8.3 min
step 12000  loss 0.2589  @1σ0.01: 47.10 (38.19)  @1σ0.03: 37.39 (23.27)  @1σ0.1: 30.76 (14.56)  @2σ0.01: 40.30 (32.12)  @2σ0.03: 33.87 (22.83)  @2σ0.1: 29.41 (14.46)  @3σ0.01: 36.60 (31.07)  @3σ0.03: 33.72 (22.89)  @3σ0.1: 28.68 (14.44)  9.9 min
step 14000  loss 0.2649  @1σ0.01: 47.24 (38.19)  @1σ0.03: 37.60 (23.27)  @1σ0.1: 30.51 (14.56)  @2σ0.01: 40.50 (32.12)  @2σ0.03: 33.97 (22.83)  @2σ0.1: 29.29 (14.46)  @3σ0.01: 36.85 (31.07)  @3σ0.03: 33.86 (22.89)  @3σ0.1: 28.48 (14.44)  11.5 min
step 16000  loss 0.2369  @1σ0.01: 47.33 (38.19)  @1σ0.03: 37.78 (23.27)  @1σ0.1: 30.78 (14.56)  @2σ0.01: 40.65 (32.12)  @2σ0.03: 34.07 (22.83)  @2σ0.1: 29.52 (14.46)  @3σ0.01: 37.05 (31.07)  @3σ0.03: 33.99 (22.89)  @3σ0.1: 28.66 (14.44)  13.1 min
step 18000  loss 0.2400  @1σ0.01: 47.38 (38.19)  @1σ0.03: 37.89 (23.27)  @1σ0.1: 30.81 (14.56)  @2σ0.01: 40.77 (32.12)  @2σ0.03: 34.12 (22.83)  @2σ0.1: 29.55 (14.46)  @3σ0.01: 37.20 (31.07)  @3σ0.03: 34.08 (22.89)  @3σ0.1: 28.64 (14.44)  14.7 min
step 20000  loss 0.2416  @1σ0.01: 47.44 (38.19)  @1σ0.03: 37.97 (23.27)  @1σ0.1: 30.68 (14.56)  @2σ0.01: 40.87 (32.12)  @2σ0.03: 34.19 (22.83)  @2σ0.1: 29.48 (14.46)  @3σ0.01: 37.32 (31.07)  @3σ0.03: 34.17 (22.89)  @3σ0.1: 28.54 (14.44)  16.3 min
step 22000  loss 0.2338  @1σ0.01: 47.46 (38.19)  @1σ0.03: 38.03 (23.27)  @1σ0.1: 30.86 (14.56)  @2σ0.01: 40.93 (32.12)  @2σ0.03: 34.22 (22.83)  @2σ0.1: 29.64 (14.46)  @3σ0.01: 37.40 (31.07)  @3σ0.03: 34.22 (22.89)  @3σ0.1: 28.66 (14.44)  17.9 min
step 24000  loss 0.2245  @1σ0.01: 47.48 (38.19)  @1σ0.03: 38.13 (23.27)  @1σ0.1: 30.71 (14.56)  @2σ0.01: 40.99 (32.12)  @2σ0.03: 34.28 (22.83)  @2σ0.1: 29.56 (14.46)  @3σ0.01: 37.47 (31.07)  @3σ0.03: 34.29 (22.89)  @3σ0.1: 28.56 (14.44)  19.5 min
step 26000  loss 0.2317  @1σ0.01: 47.49 (38.19)  @1σ0.03: 38.18 (23.27)  @1σ0.1: 30.64 (14.56)  @2σ0.01: 41.02 (32.12)  @2σ0.03: 34.31 (22.83)  @2σ0.1: 29.51 (14.46)  @3σ0.01: 37.52 (31.07)  @3σ0.03: 34.32 (22.89)  @3σ0.1: 28.47 (14.44)  21.1 min
step 28000  loss 0.2181  @1σ0.01: 47.55 (38.19)  @1σ0.03: 38.25 (23.27)  @1σ0.1: 30.62 (14.56)  @2σ0.01: 41.09 (32.12)  @2σ0.03: 34.34 (22.83)  @2σ0.1: 29.51 (14.46)  @3σ0.01: 37.59 (31.07)  @3σ0.03: 34.38 (22.89)  @3σ0.1: 28.44 (14.44)  22.7 min
step 30000  loss 0.2143  @1σ0.01: 47.58 (38.19)  @1σ0.03: 38.30 (23.27)  @1σ0.1: 31.05 (14.56)  @2σ0.01: 41.14 (32.12)  @2σ0.03: 34.38 (22.83)  @2σ0.1: 29.77 (14.46)  @3σ0.01: 37.64 (31.07)  @3σ0.03: 34.41 (22.89)  @3σ0.1: 28.70 (14.44)  24.3 min
step 32000  loss 0.2129  @1σ0.01: 47.60 (38.19)  @1σ0.03: 38.35 (23.27)  @1σ0.1: 31.17 (14.56)  @2σ0.01: 41.18 (32.12)  @2σ0.03: 34.38 (22.83)  @2σ0.1: 29.88 (14.46)  @3σ0.01: 37.68 (31.07)  @3σ0.03: 34.45 (22.89)  @3σ0.1: 28.74 (14.44)  25.9 min
