228 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
3695 MP of training mosaic
1.97 M parameters
step 2000  loss 0.5109  @1σ0.01: 38.86 (38.19)  @1σ0.03: 32.82 (23.27)  @1σ0.1: 24.68 (14.56)  @2σ0.01: 35.77 (32.12)  @2σ0.03: 30.99 (22.83)  @2σ0.1: 24.25 (14.46)  @3σ0.01: 32.18 (31.07)  @3σ0.03: 30.41 (22.89)  @3σ0.1: 24.10 (14.44)  2.5 min
step 4000  loss 0.4147  @1σ0.01: 41.11 (38.19)  @1σ0.03: 33.72 (23.27)  @1σ0.1: 24.22 (14.56)  @2σ0.01: 37.42 (32.12)  @2σ0.03: 31.77 (22.83)  @2σ0.1: 24.09 (14.46)  @3σ0.01: 33.79 (31.07)  @3σ0.03: 31.25 (22.89)  @3σ0.1: 23.87 (14.44)  5.0 min
step 6000  loss 0.3565  @1σ0.01: 42.04 (38.18)  @1σ0.03: 34.27 (23.27)  @1σ0.1: 24.89 (14.56)  @2σ0.01: 38.13 (32.12)  @2σ0.03: 32.15 (22.83)  @2σ0.1: 24.70 (14.46)  @3σ0.01: 34.53 (31.07)  @3σ0.03: 31.69 (22.89)  @3σ0.1: 24.24 (14.44)  7.2 min
step 8000  loss 0.3173  @1σ0.01: 42.82 (38.19)  @1σ0.03: 34.76 (23.27)  @1σ0.1: 25.15 (14.56)  @2σ0.01: 38.70 (32.12)  @2σ0.03: 32.49 (22.83)  @2σ0.1: 24.90 (14.46)  @3σ0.01: 35.13 (31.07)  @3σ0.03: 32.11 (22.89)  @3σ0.1: 24.43 (14.44)  9.4 min
step 10000  loss 0.3082  @1σ0.01: 43.69 (38.19)  @1σ0.03: 35.43 (23.27)  @1σ0.1: 25.95 (14.56)  @2σ0.01: 39.33 (32.12)  @2σ0.03: 32.94 (22.83)  @2σ0.1: 25.65 (14.46)  @3σ0.01: 35.76 (31.07)  @3σ0.03: 32.63 (22.89)  @3σ0.1: 25.11 (14.44)  11.7 min
step 12000  loss 0.2981  @1σ0.01: 44.70 (38.19)  @1σ0.03: 35.84 (23.27)  @1σ0.1: 26.44 (14.56)  @2σ0.01: 39.78 (32.12)  @2σ0.03: 33.21 (22.83)  @2σ0.1: 26.12 (14.46)  @3σ0.01: 36.22 (31.07)  @3σ0.03: 32.95 (22.89)  @3σ0.1: 25.39 (14.44)  13.9 min
step 14000  loss 0.2819  @1σ0.01: 46.97 (38.19)  @1σ0.03: 36.20 (23.27)  @1σ0.1: 26.63 (14.56)  @2σ0.01: 40.05 (32.12)  @2σ0.03: 33.43 (22.83)  @2σ0.1: 26.37 (14.46)  @3σ0.01: 36.48 (31.07)  @3σ0.03: 33.19 (22.89)  @3σ0.1: 25.50 (14.44)  16.1 min
step 16000  loss 0.2653  @1σ0.01: 47.19 (38.19)  @1σ0.03: 36.70 (23.27)  @1σ0.1: 26.99 (14.56)  @2σ0.01: 40.35 (32.12)  @2σ0.03: 33.68 (22.83)  @2σ0.1: 26.72 (14.46)  @3σ0.01: 36.71 (31.07)  @3σ0.03: 33.50 (22.89)  @3σ0.1: 25.78 (14.44)  18.4 min
step 18000  loss 0.2606  @1σ0.01: 47.35 (38.19)  @1σ0.03: 37.10 (23.27)  @1σ0.1: 27.41 (14.56)  @2σ0.01: 40.59 (32.12)  @2σ0.03: 33.88 (22.83)  @2σ0.1: 27.09 (14.46)  @3σ0.01: 36.93 (31.07)  @3σ0.03: 33.75 (22.89)  @3σ0.1: 26.06 (14.44)  20.6 min
step 20000  loss 0.2641  @1σ0.01: 47.40 (38.19)  @1σ0.03: 37.28 (23.27)  @1σ0.1: 27.53 (14.56)  @2σ0.01: 40.74 (32.12)  @2σ0.03: 33.98 (22.83)  @2σ0.1: 27.27 (14.46)  @3σ0.01: 37.09 (31.07)  @3σ0.03: 33.88 (22.89)  @3σ0.1: 26.17 (14.44)  22.8 min
step 22000  loss 0.2549  @1σ0.01: 47.46 (38.19)  @1σ0.03: 37.41 (23.27)  @1σ0.1: 27.71 (14.56)  @2σ0.01: 40.85 (32.12)  @2σ0.03: 34.05 (22.83)  @2σ0.1: 27.45 (14.46)  @3σ0.01: 37.24 (31.07)  @3σ0.03: 33.97 (22.89)  @3σ0.1: 26.30 (14.44)  25.1 min
step 24000  loss 0.2448  @1σ0.01: 47.50 (38.19)  @1σ0.03: 37.49 (23.27)  @1σ0.1: 27.87 (14.56)  @2σ0.01: 40.95 (32.12)  @2σ0.03: 34.10 (22.83)  @2σ0.1: 27.57 (14.46)  @3σ0.01: 37.37 (31.07)  @3σ0.03: 34.04 (22.89)  @3σ0.1: 26.43 (14.44)  27.3 min
