426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.15 M parameters
step 34000  loss 0.2533  @1σ0.01: 47.94 (38.19)  @1σ0.03: 38.49 (23.27)  @1σ0.1: 28.87 (14.56)  @2σ0.01: 41.78 (32.12)  @2σ0.03: 34.70 (22.83)  @2σ0.1: 28.34 (14.46)  @3σ0.01: 38.45 (31.07)  @3σ0.03: 34.92 (22.89)  @3σ0.1: 27.07 (14.44)  77.9 min
step 36000  loss 0.2504  @1σ0.01: 47.94 (38.18)  @1σ0.03: 38.52 (23.27)  @1σ0.1: 28.94 (14.56)  @2σ0.01: 41.79 (32.12)  @2σ0.03: 34.73 (22.83)  @2σ0.1: 28.42 (14.46)  @3σ0.01: 38.46 (31.07)  @3σ0.03: 34.94 (22.89)  @3σ0.1: 27.15 (14.44)  82.4 min
step 38000  loss 0.2534  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.55 (23.27)  @1σ0.1: 29.14 (14.56)  @2σ0.01: 41.80 (32.12)  @2σ0.03: 34.73 (22.83)  @2σ0.1: 28.60 (14.46)  @3σ0.01: 38.48 (31.07)  @3σ0.03: 34.96 (22.89)  @3σ0.1: 27.31 (14.44)  87.0 min
step 40000  loss 0.2539  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.58 (23.27)  @1σ0.1: 29.34 (14.56)  @2σ0.01: 41.80 (32.12)  @2σ0.03: 34.75 (22.83)  @2σ0.1: 28.75 (14.46)  @3σ0.01: 38.48 (31.07)  @3σ0.03: 34.98 (22.89)  @3σ0.1: 27.39 (14.44)  91.6 min
step 42000  loss 0.2478  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.61 (23.27)  @1σ0.1: 29.19 (14.56)  @2σ0.01: 41.82 (32.12)  @2σ0.03: 34.75 (22.83)  @2σ0.1: 28.67 (14.46)  @3σ0.01: 38.50 (31.07)  @3σ0.03: 34.99 (22.89)  @3σ0.1: 27.34 (14.44)  96.1 min
step 44000  loss 0.2414  @1σ0.01: 47.97 (38.19)  @1σ0.03: 38.63 (23.27)  @1σ0.1: 29.64 (14.56)  @2σ0.01: 41.83 (32.12)  @2σ0.03: 34.76 (22.83)  @2σ0.1: 28.96 (14.46)  @3σ0.01: 38.50 (31.07)  @3σ0.03: 35.00 (22.89)  @3σ0.1: 27.77 (14.44)  100.7 min
step 46000  loss 0.2451  @1σ0.01: 47.96 (38.18)  @1σ0.03: 38.66 (23.27)  @1σ0.1: 29.44 (14.56)  @2σ0.01: 41.82 (32.12)  @2σ0.03: 34.77 (22.83)  @2σ0.1: 28.84 (14.46)  @3σ0.01: 38.51 (31.07)  @3σ0.03: 35.01 (22.89)  @3σ0.1: 27.59 (14.44)  105.3 min
step 48000  loss 0.2442  @1σ0.01: 47.95 (38.19)  @1σ0.03: 38.68 (23.27)  @1σ0.1: 29.33 (14.56)  @2σ0.01: 41.81 (32.12)  @2σ0.03: 34.77 (22.83)  @2σ0.1: 28.77 (14.46)  @3σ0.01: 38.50 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 27.53 (14.44)  109.9 min
step 50000  loss 0.2406  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.67 (23.27)  @1σ0.1: 29.58 (14.56)  @2σ0.01: 41.84 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 28.88 (14.46)  @3σ0.01: 38.52 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 27.66 (14.44)  114.4 min
step 52000  loss 0.2436  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.66 (23.27)  @1σ0.1: 29.69 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 28.98 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 27.72 (14.44)  119.0 min
step 54000  loss 0.2427  @1σ0.01: 48.00 (38.19)  @1σ0.03: 38.64 (23.27)  @1σ0.1: 29.73 (14.56)  @2σ0.01: 41.86 (32.12)  @2σ0.03: 34.77 (22.83)  @2σ0.1: 28.98 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 35.01 (22.89)  @3σ0.1: 27.75 (14.44)  123.6 min
step 56000  loss 0.2393  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.67 (23.27)  @1σ0.1: 29.87 (14.56)  @2σ0.01: 41.86 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 29.03 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 27.86 (14.44)  128.2 min
step 58000  loss 0.2401  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.68 (23.27)  @1σ0.1: 29.70 (14.56)  @2σ0.01: 41.86 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 28.94 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 35.02 (22.89)  @3σ0.1: 27.75 (14.44)  132.7 min
step 60000  loss 0.2437  @1σ0.01: 47.97 (38.19)  @1σ0.03: 38.69 (23.27)  @1σ0.1: 29.79 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.78 (22.83)  @2σ0.1: 29.03 (14.46)  @3σ0.01: 38.54 (31.07)  @3σ0.03: 35.03 (22.89)  @3σ0.1: 27.79 (14.44)  137.3 min
