426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.06 M parameters
step 2000  loss 0.5400  @1σ0.01: 44.97 (38.19)  @1σ0.03: 32.97 (23.27)  @1σ0.1: 23.48 (14.56)  @2σ0.01: 37.50 (32.12)  @2σ0.03: 31.42 (22.83)  @2σ0.1: 23.27 (14.46)  @3σ0.01: 34.21 (31.07)  @3σ0.03: 30.85 (22.89)  @3σ0.1: 23.23 (14.44)  4.4 min
step 4000  loss 0.4179  @1σ0.01: 45.74 (38.19)  @1σ0.03: 33.55 (23.27)  @1σ0.1: 23.67 (14.56)  @2σ0.01: 38.49 (32.12)  @2σ0.03: 31.89 (22.83)  @2σ0.1: 23.68 (14.46)  @3σ0.01: 35.45 (31.07)  @3σ0.03: 31.46 (22.89)  @3σ0.1: 23.47 (14.44)  8.6 min
step 6000  loss 0.3730  @1σ0.01: 46.40 (38.18)  @1σ0.03: 34.92 (23.27)  @1σ0.1: 24.76 (14.56)  @2σ0.01: 39.44 (32.12)  @2σ0.03: 32.75 (22.83)  @2σ0.1: 24.59 (14.46)  @3σ0.01: 36.21 (31.07)  @3σ0.03: 32.45 (22.89)  @3σ0.1: 24.15 (14.44)  12.7 min
step 8000  loss 0.3504  @1σ0.01: 47.15 (38.19)  @1σ0.03: 36.48 (23.27)  @1σ0.1: 25.88 (14.56)  @2σ0.01: 40.42 (32.12)  @2σ0.03: 33.57 (22.83)  @2σ0.1: 25.68 (14.46)  @3σ0.01: 36.91 (31.07)  @3σ0.03: 33.44 (22.89)  @3σ0.1: 25.05 (14.44)  16.8 min
step 10000  loss 0.3221  @1σ0.01: 47.40 (38.19)  @1σ0.03: 37.04 (23.27)  @1σ0.1: 26.88 (14.56)  @2σ0.01: 40.84 (32.12)  @2σ0.03: 33.87 (22.83)  @2σ0.1: 26.50 (14.46)  @3σ0.01: 37.39 (31.07)  @3σ0.03: 33.83 (22.89)  @3σ0.1: 25.64 (14.44)  21.0 min
step 12000  loss 0.3041  @1σ0.01: 47.54 (38.18)  @1σ0.03: 37.35 (23.27)  @1σ0.1: 27.42 (14.56)  @2σ0.01: 41.12 (32.12)  @2σ0.03: 34.04 (22.83)  @2σ0.1: 26.97 (14.46)  @3σ0.01: 37.69 (31.07)  @3σ0.03: 34.05 (22.89)  @3σ0.1: 26.05 (14.44)  25.1 min
step 14000  loss 0.3143  @1σ0.01: 47.63 (38.19)  @1σ0.03: 37.50 (23.27)  @1σ0.1: 27.44 (14.56)  @2σ0.01: 41.26 (32.12)  @2σ0.03: 34.13 (22.83)  @2σ0.1: 27.02 (14.46)  @3σ0.01: 37.87 (31.07)  @3σ0.03: 34.18 (22.89)  @3σ0.1: 26.06 (14.44)  29.2 min
step 16000  loss 0.2911  @1σ0.01: 47.68 (38.19)  @1σ0.03: 37.60 (23.27)  @1σ0.1: 27.68 (14.56)  @2σ0.01: 41.34 (32.12)  @2σ0.03: 34.19 (22.83)  @2σ0.1: 27.31 (14.46)  @3σ0.01: 37.97 (31.07)  @3σ0.03: 34.27 (22.89)  @3σ0.1: 26.31 (14.44)  33.4 min
step 18000  loss 0.2861  @1σ0.01: 47.71 (38.18)  @1σ0.03: 37.71 (23.27)  @1σ0.1: 27.66 (14.56)  @2σ0.01: 41.41 (32.12)  @2σ0.03: 34.25 (22.83)  @2σ0.1: 27.38 (14.46)  @3σ0.01: 38.05 (31.07)  @3σ0.03: 34.35 (22.89)  @3σ0.1: 26.28 (14.44)  37.5 min
step 20000  loss 0.2819  @1σ0.01: 47.73 (38.19)  @1σ0.03: 37.77 (23.27)  @1σ0.1: 27.81 (14.56)  @2σ0.01: 41.44 (32.12)  @2σ0.03: 34.29 (22.83)  @2σ0.1: 27.49 (14.46)  @3σ0.01: 38.09 (31.07)  @3σ0.03: 34.41 (22.89)  @3σ0.1: 26.34 (14.44)  41.6 min
step 22000  loss 0.2867  @1σ0.01: 47.74 (38.19)  @1σ0.03: 37.86 (23.27)  @1σ0.1: 27.87 (14.56)  @2σ0.01: 41.48 (32.12)  @2σ0.03: 34.34 (22.83)  @2σ0.1: 27.62 (14.46)  @3σ0.01: 38.13 (31.07)  @3σ0.03: 34.47 (22.89)  @3σ0.1: 26.51 (14.44)  45.8 min
step 24000  loss 0.2773  @1σ0.01: 47.78 (38.18)  @1σ0.03: 37.94 (23.27)  @1σ0.1: 27.96 (14.56)  @2σ0.01: 41.53 (32.12)  @2σ0.03: 34.38 (22.83)  @2σ0.1: 27.69 (14.46)  @3σ0.01: 38.17 (31.07)  @3σ0.03: 34.54 (22.89)  @3σ0.1: 26.59 (14.44)  49.9 min
step 26000  loss 0.2720  @1σ0.01: 47.79 (38.18)  @1σ0.03: 38.03 (23.27)  @1σ0.1: 28.12 (14.56)  @2σ0.01: 41.57 (32.12)  @2σ0.03: 34.40 (22.83)  @2σ0.1: 27.81 (14.46)  @3σ0.01: 38.21 (31.07)  @3σ0.03: 34.59 (22.89)  @3σ0.1: 26.71 (14.44)  54.0 min
step 28000  loss 0.2730  @1σ0.01: 47.80 (38.18)  @1σ0.03: 38.11 (23.27)  @1σ0.1: 28.29 (14.56)  @2σ0.01: 41.58 (32.12)  @2σ0.03: 34.44 (22.83)  @2σ0.1: 27.94 (14.46)  @3σ0.01: 38.23 (31.07)  @3σ0.03: 34.64 (22.89)  @3σ0.1: 26.83 (14.44)  58.2 min
step 30000  loss 0.2742  @1σ0.01: 47.83 (38.19)  @1σ0.03: 38.18 (23.27)  @1σ0.1: 28.26 (14.56)  @2σ0.01: 41.60 (32.12)  @2σ0.03: 34.46 (22.83)  @2σ0.1: 27.94 (14.46)  @3σ0.01: 38.25 (31.07)  @3σ0.03: 34.68 (22.89)  @3σ0.1: 26.77 (14.44)  62.3 min
step 32000  loss 0.2645  @1σ0.01: 47.83 (38.18)  @1σ0.03: 38.23 (23.27)  @1σ0.1: 28.59 (14.56)  @2σ0.01: 41.63 (32.12)  @2σ0.03: 34.48 (22.83)  @2σ0.1: 28.17 (14.46)  @3σ0.01: 38.27 (31.07)  @3σ0.03: 34.71 (22.89)  @3σ0.1: 27.13 (14.44)  66.4 min
step 34000  loss 0.2589  @1σ0.01: 47.84 (38.18)  @1σ0.03: 38.25 (23.27)  @1σ0.1: 28.76 (14.56)  @2σ0.01: 41.64 (32.12)  @2σ0.03: 34.50 (22.83)  @2σ0.1: 28.24 (14.46)  @3σ0.01: 38.29 (31.07)  @3σ0.03: 34.73 (22.89)  @3σ0.1: 27.29 (14.44)  70.6 min
step 36000  loss 0.2601  @1σ0.01: 47.83 (38.18)  @1σ0.03: 38.30 (23.27)  @1σ0.1: 28.82 (14.56)  @2σ0.01: 41.64 (32.12)  @2σ0.03: 34.53 (22.83)  @2σ0.1: 28.27 (14.46)  @3σ0.01: 38.29 (31.07)  @3σ0.03: 34.76 (22.89)  @3σ0.1: 27.32 (14.44)  74.7 min
step 38000  loss 0.2606  @1σ0.01: 47.85 (38.17)  @1σ0.03: 38.34 (23.27)  @1σ0.1: 28.90 (14.56)  @2σ0.01: 41.67 (32.12)  @2σ0.03: 34.53 (22.83)  @2σ0.1: 28.36 (14.46)  @3σ0.01: 38.32 (31.07)  @3σ0.03: 34.77 (22.89)  @3σ0.1: 27.39 (14.44)  78.8 min
step 40000  loss 0.2612  @1σ0.01: 47.86 (38.19)  @1σ0.03: 38.39 (23.27)  @1σ0.1: 28.78 (14.56)  @2σ0.01: 41.66 (32.12)  @2σ0.03: 34.55 (22.83)  @2σ0.1: 28.28 (14.46)  @3σ0.01: 38.32 (31.07)  @3σ0.03: 34.80 (22.89)  @3σ0.1: 27.24 (14.44)  83.0 min
step 42000  loss 0.2547  @1σ0.01: 47.86 (38.18)  @1σ0.03: 38.42 (23.27)  @1σ0.1: 28.85 (14.56)  @2σ0.01: 41.67 (32.12)  @2σ0.03: 34.56 (22.83)  @2σ0.1: 28.39 (14.46)  @3σ0.01: 38.33 (31.07)  @3σ0.03: 34.81 (22.89)  @3σ0.1: 27.35 (14.44)  87.1 min
step 44000  loss 0.2467  @1σ0.01: 47.88 (38.18)  @1σ0.03: 38.46 (23.27)  @1σ0.1: 29.32 (14.56)  @2σ0.01: 41.69 (32.12)  @2σ0.03: 34.59 (22.83)  @2σ0.1: 28.64 (14.46)  @3σ0.01: 38.34 (31.07)  @3σ0.03: 34.84 (22.89)  @3σ0.1: 27.77 (14.44)  91.2 min
