426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
1.97 M parameters
step 2000  loss 0.5800  @1σ0.01: 40.27 (38.19)  @1σ0.03: 33.06 (23.27)  @1σ0.1: 23.34 (14.56)  @2σ0.01: 36.64 (32.12)  @2σ0.03: 31.16 (22.83)  @2σ0.1: 23.09 (14.46)  @3σ0.01: 32.95 (31.07)  @3σ0.03: 30.53 (22.89)  @3σ0.1: 23.00 (14.44)  2.3 min
step 4000  loss 0.4632  @1σ0.01: 41.82 (38.19)  @1σ0.03: 33.50 (23.27)  @1σ0.1: 23.32 (14.56)  @2σ0.01: 37.73 (32.12)  @2σ0.03: 31.70 (22.83)  @2σ0.1: 23.24 (14.46)  @3σ0.01: 34.44 (31.07)  @3σ0.03: 31.21 (22.89)  @3σ0.1: 23.15 (14.44)  4.5 min
step 6000  loss 0.4310  @1σ0.01: 43.05 (38.19)  @1σ0.03: 34.22 (23.27)  @1σ0.1: 24.02 (14.56)  @2σ0.01: 38.75 (32.12)  @2σ0.03: 32.22 (22.83)  @2σ0.1: 23.92 (14.46)  @3σ0.01: 35.49 (31.07)  @3σ0.03: 31.84 (22.89)  @3σ0.1: 23.58 (14.44)  6.7 min
step 8000  loss 0.3563  @1σ0.01: 44.16 (38.19)  @1σ0.03: 34.99 (23.27)  @1σ0.1: 24.45 (14.56)  @2σ0.01: 39.39 (32.12)  @2σ0.03: 32.70 (22.83)  @2σ0.1: 24.40 (14.46)  @3σ0.01: 36.06 (31.07)  @3σ0.03: 32.40 (22.89)  @3σ0.1: 24.14 (14.44)  8.9 min
step 10000  loss 0.3253  @1σ0.01: 46.68 (38.19)  @1σ0.03: 35.61 (23.27)  @1σ0.1: 25.12 (14.56)  @2σ0.01: 39.90 (32.12)  @2σ0.03: 33.07 (22.83)  @2σ0.1: 25.11 (14.46)  @3σ0.01: 36.50 (31.07)  @3σ0.03: 32.86 (22.89)  @3σ0.1: 24.69 (14.44)  11.1 min
step 12000  loss 0.3148  @1σ0.01: 46.99 (38.19)  @1σ0.03: 36.24 (23.27)  @1σ0.1: 25.57 (14.56)  @2σ0.01: 40.35 (32.12)  @2σ0.03: 33.42 (22.83)  @2σ0.1: 25.55 (14.46)  @3σ0.01: 36.86 (31.07)  @3σ0.03: 33.28 (22.89)  @3σ0.1: 24.88 (14.44)  13.4 min
step 14000  loss 0.3206  @1σ0.01: 47.14 (38.19)  @1σ0.03: 36.62 (23.27)  @1σ0.1: 26.11 (14.56)  @2σ0.01: 40.60 (32.12)  @2σ0.03: 33.63 (22.83)  @2σ0.1: 25.98 (14.46)  @3σ0.01: 37.09 (31.07)  @3σ0.03: 33.52 (22.89)  @3σ0.1: 25.20 (14.44)  15.6 min
step 16000  loss 0.2873  @1σ0.01: 47.26 (38.19)  @1σ0.03: 36.86 (23.27)  @1σ0.1: 26.30 (14.56)  @2σ0.01: 40.75 (32.12)  @2σ0.03: 33.77 (22.83)  @2σ0.1: 26.17 (14.46)  @3σ0.01: 37.26 (31.07)  @3σ0.03: 33.68 (22.89)  @3σ0.1: 25.30 (14.44)  17.8 min
step 18000  loss 0.2841  @1σ0.01: 47.37 (38.19)  @1σ0.03: 37.08 (23.27)  @1σ0.1: 26.39 (14.56)  @2σ0.01: 40.89 (32.12)  @2σ0.03: 33.88 (22.83)  @2σ0.1: 26.29 (14.46)  @3σ0.01: 37.38 (31.07)  @3σ0.03: 33.82 (22.89)  @3σ0.1: 25.36 (14.44)  20.0 min
step 20000  loss 0.2716  @1σ0.01: 47.44 (38.19)  @1σ0.03: 37.23 (23.27)  @1σ0.1: 26.59 (14.56)  @2σ0.01: 40.98 (32.12)  @2σ0.03: 33.96 (22.83)  @2σ0.1: 26.51 (14.46)  @3σ0.01: 37.47 (31.07)  @3σ0.03: 33.92 (22.89)  @3σ0.1: 25.50 (14.44)  22.2 min
step 22000  loss 0.2664  @1σ0.01: 47.49 (38.19)  @1σ0.03: 37.38 (23.27)  @1σ0.1: 26.59 (14.56)  @2σ0.01: 41.05 (32.12)  @2σ0.03: 34.04 (22.83)  @2σ0.1: 26.59 (14.46)  @3σ0.01: 37.56 (31.07)  @3σ0.03: 34.01 (22.89)  @3σ0.1: 25.54 (14.44)  24.4 min
step 24000  loss 0.2697  @1σ0.01: 47.53 (38.19)  @1σ0.03: 37.48 (23.27)  @1σ0.1: 26.60 (14.56)  @2σ0.01: 41.09 (32.12)  @2σ0.03: 34.10 (22.83)  @2σ0.1: 26.61 (14.46)  @3σ0.01: 37.61 (31.07)  @3σ0.03: 34.08 (22.89)  @3σ0.1: 25.53 (14.44)  26.6 min
step 26000  loss 0.2618  @1σ0.01: 47.56 (38.19)  @1σ0.03: 37.55 (23.27)  @1σ0.1: 27.03 (14.56)  @2σ0.01: 41.15 (32.12)  @2σ0.03: 34.14 (22.83)  @2σ0.1: 26.97 (14.46)  @3σ0.01: 37.68 (31.07)  @3σ0.03: 34.13 (22.89)  @3σ0.1: 25.88 (14.44)  28.8 min
step 28000  loss 0.2601  @1σ0.01: 47.59 (38.19)  @1σ0.03: 37.63 (23.27)  @1σ0.1: 27.06 (14.56)  @2σ0.01: 41.19 (32.12)  @2σ0.03: 34.18 (22.83)  @2σ0.1: 27.02 (14.46)  @3σ0.01: 37.73 (31.07)  @3σ0.03: 34.19 (22.89)  @3σ0.1: 25.95 (14.44)  31.0 min
step 30000  loss 0.2579  @1σ0.01: 47.63 (38.19)  @1σ0.03: 37.68 (23.27)  @1σ0.1: 27.15 (14.56)  @2σ0.01: 41.24 (32.12)  @2σ0.03: 34.21 (22.83)  @2σ0.1: 27.10 (14.46)  @3σ0.01: 37.80 (31.07)  @3σ0.03: 34.23 (22.89)  @3σ0.1: 26.00 (14.44)  33.2 min
step 32000  loss 0.2507  @1σ0.01: 47.64 (38.19)  @1σ0.03: 37.73 (23.27)  @1σ0.1: 27.24 (14.56)  @2σ0.01: 41.27 (32.12)  @2σ0.03: 34.23 (22.83)  @2σ0.1: 27.17 (14.46)  @3σ0.01: 37.84 (31.07)  @3σ0.03: 34.26 (22.89)  @3σ0.1: 26.09 (14.44)  35.4 min
step 34000  loss 0.2432  @1σ0.01: 47.63 (38.18)  @1σ0.03: 37.79 (23.27)  @1σ0.1: 27.39 (14.56)  @2σ0.01: 41.27 (32.12)  @2σ0.03: 34.25 (22.83)  @2σ0.1: 27.30 (14.46)  @3σ0.01: 37.86 (31.07)  @3σ0.03: 34.30 (22.89)  @3σ0.1: 26.26 (14.44)  37.7 min
