426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
1.99 M parameters
step 2000  loss 0.5235  @1σ0.01: 42.34 (38.19)  @1σ0.03: 32.81 (23.27)  @1σ0.1: 23.28 (14.56)  @2σ0.01: 37.10 (32.12)  @2σ0.03: 31.29 (22.83)  @2σ0.1: 23.10 (14.46)  @3σ0.01: 33.81 (31.07)  @3σ0.03: 30.65 (22.89)  @3σ0.1: 22.98 (14.44)  2.9 min
step 4000  loss 0.4325  @1σ0.01: 45.43 (38.18)  @1σ0.03: 33.32 (23.27)  @1σ0.1: 23.82 (14.56)  @2σ0.01: 38.08 (32.12)  @2σ0.03: 31.70 (22.83)  @2σ0.1: 23.65 (14.46)  @3σ0.01: 34.98 (31.07)  @3σ0.03: 31.24 (22.89)  @3σ0.1: 23.52 (14.44)  5.7 min
step 6000  loss 0.3871  @1σ0.01: 46.14 (38.19)  @1σ0.03: 34.37 (23.27)  @1σ0.1: 24.37 (14.56)  @2σ0.01: 39.00 (32.12)  @2σ0.03: 32.40 (22.83)  @2σ0.1: 24.22 (14.46)  @3σ0.01: 35.72 (31.07)  @3σ0.03: 32.02 (22.89)  @3σ0.1: 23.93 (14.44)  8.5 min
step 8000  loss 0.3605  @1σ0.01: 46.87 (38.19)  @1σ0.03: 35.98 (23.27)  @1σ0.1: 26.35 (14.56)  @2σ0.01: 39.96 (32.12)  @2σ0.03: 33.28 (22.83)  @2σ0.1: 25.93 (14.46)  @3σ0.01: 36.34 (31.07)  @3σ0.03: 33.06 (22.89)  @3σ0.1: 25.50 (14.44)  11.3 min
step 10000  loss 0.3318  @1σ0.01: 47.20 (38.19)  @1σ0.03: 36.66 (23.27)  @1σ0.1: 26.74 (14.56)  @2σ0.01: 40.43 (32.12)  @2σ0.03: 33.63 (22.83)  @2σ0.1: 26.31 (14.46)  @3σ0.01: 36.73 (31.07)  @3σ0.03: 33.49 (22.89)  @3σ0.1: 25.59 (14.44)  14.1 min
step 12000  loss 0.3128  @1σ0.01: 47.39 (38.19)  @1σ0.03: 37.02 (23.27)  @1σ0.1: 27.19 (14.56)  @2σ0.01: 40.73 (32.12)  @2σ0.03: 33.83 (22.83)  @2σ0.1: 26.73 (14.46)  @3σ0.01: 37.08 (31.07)  @3σ0.03: 33.76 (22.89)  @3σ0.1: 25.86 (14.44)  16.9 min
step 14000  loss 0.3244  @1σ0.01: 47.49 (38.19)  @1σ0.03: 37.24 (23.27)  @1σ0.1: 27.35 (14.56)  @2σ0.01: 40.94 (32.12)  @2σ0.03: 33.96 (22.83)  @2σ0.1: 26.86 (14.46)  @3σ0.01: 37.37 (31.07)  @3σ0.03: 33.93 (22.89)  @3σ0.1: 25.90 (14.44)  19.7 min
step 16000  loss 0.2924  @1σ0.01: 47.55 (38.19)  @1σ0.03: 37.44 (23.27)  @1σ0.1: 27.51 (14.56)  @2σ0.01: 41.08 (32.12)  @2σ0.03: 34.06 (22.83)  @2σ0.1: 27.05 (14.46)  @3σ0.01: 37.57 (31.07)  @3σ0.03: 34.07 (22.89)  @3σ0.1: 26.01 (14.44)  22.5 min
step 18000  loss 0.2950  @1σ0.01: 47.60 (38.17)  @1σ0.03: 37.54 (23.27)  @1σ0.1: 27.70 (14.56)  @2σ0.01: 41.18 (32.12)  @2σ0.03: 34.13 (22.83)  @2σ0.1: 27.28 (14.46)  @3σ0.01: 37.70 (31.07)  @3σ0.03: 34.15 (22.89)  @3σ0.1: 26.16 (14.44)  25.3 min
step 20000  loss 0.2871  @1σ0.01: 47.63 (38.18)  @1σ0.03: 37.64 (23.27)  @1σ0.1: 27.97 (14.56)  @2σ0.01: 41.25 (32.12)  @2σ0.03: 34.19 (22.83)  @2σ0.1: 27.54 (14.46)  @3σ0.01: 37.78 (31.07)  @3σ0.03: 34.23 (22.89)  @3σ0.1: 26.35 (14.44)  28.1 min
step 22000  loss 0.2990  @1σ0.01: 47.66 (38.18)  @1σ0.03: 37.74 (23.27)  @1σ0.1: 28.13 (14.56)  @2σ0.01: 41.32 (32.12)  @2σ0.03: 34.23 (22.83)  @2σ0.1: 27.75 (14.46)  @3σ0.01: 37.86 (31.07)  @3σ0.03: 34.30 (22.89)  @3σ0.1: 26.56 (14.44)  30.9 min
