426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.03 M parameters
step 2000  loss 0.5407  @1σ0.01: 40.81 (38.19)  @1σ0.03: 33.19 (23.27)  @1σ0.1: 24.05 (14.56)  @2σ0.01: 36.95 (32.12)  @2σ0.03: 31.34 (22.83)  @2σ0.1: 23.79 (14.46)  @3σ0.01: 33.24 (31.07)  @3σ0.03: 30.72 (22.89)  @3σ0.1: 23.69 (14.44)  3.2 min
step 4000  loss 0.4352  @1σ0.01: 42.76 (38.19)  @1σ0.03: 34.33 (23.27)  @1σ0.1: 24.62 (14.56)  @2σ0.01: 38.53 (32.12)  @2σ0.03: 32.21 (22.83)  @2σ0.1: 24.39 (14.46)  @3σ0.01: 35.04 (31.07)  @3σ0.03: 31.82 (22.89)  @3σ0.1: 24.15 (14.44)  5.9 min
step 6000  loss 0.3950  @1σ0.01: 46.41 (38.19)  @1σ0.03: 35.11 (23.27)  @1σ0.1: 25.10 (14.56)  @2σ0.01: 39.35 (32.12)  @2σ0.03: 32.76 (22.83)  @2σ0.1: 24.88 (14.46)  @3σ0.01: 35.92 (31.07)  @3σ0.03: 32.47 (22.89)  @3σ0.1: 24.48 (14.44)  8.6 min
step 8000  loss 0.3573  @1σ0.01: 46.94 (38.19)  @1σ0.03: 36.40 (23.27)  @1σ0.1: 26.09 (14.56)  @2σ0.01: 40.15 (32.12)  @2σ0.03: 33.50 (22.83)  @2σ0.1: 25.88 (14.46)  @3σ0.01: 36.54 (31.07)  @3σ0.03: 33.32 (22.89)  @3σ0.1: 25.30 (14.44)  11.2 min
step 10000  loss 0.3328  @1σ0.01: 47.19 (38.19)  @1σ0.03: 36.90 (23.27)  @1σ0.1: 26.42 (14.56)  @2σ0.01: 40.56 (32.12)  @2σ0.03: 33.77 (22.83)  @2σ0.1: 26.18 (14.46)  @3σ0.01: 36.96 (31.07)  @3σ0.03: 33.67 (22.89)  @3σ0.1: 25.44 (14.44)  13.9 min
step 12000  loss 0.3211  @1σ0.01: 47.35 (38.18)  @1σ0.03: 37.18 (23.27)  @1σ0.1: 26.67 (14.56)  @2σ0.01: 40.82 (32.12)  @2σ0.03: 33.94 (22.83)  @2σ0.1: 26.42 (14.46)  @3σ0.01: 37.26 (31.07)  @3σ0.03: 33.89 (22.89)  @3σ0.1: 25.52 (14.44)  16.6 min
step 14000  loss 0.3097  @1σ0.01: 47.48 (38.19)  @1σ0.03: 37.41 (23.27)  @1σ0.1: 27.05 (14.56)  @2σ0.01: 41.02 (32.12)  @2σ0.03: 34.07 (22.83)  @2σ0.1: 26.80 (14.46)  @3σ0.01: 37.48 (31.07)  @3σ0.03: 34.06 (22.89)  @3σ0.1: 25.83 (14.44)  19.3 min
step 16000  loss 0.2962  @1σ0.01: 47.57 (38.19)  @1σ0.03: 37.58 (23.27)  @1σ0.1: 27.42 (14.56)  @2σ0.01: 41.14 (32.12)  @2σ0.03: 34.18 (22.83)  @2σ0.1: 27.06 (14.46)  @3σ0.01: 37.64 (31.07)  @3σ0.03: 34.19 (22.89)  @3σ0.1: 26.06 (14.44)  21.9 min
step 18000  loss 0.2945  @1σ0.01: 47.63 (38.18)  @1σ0.03: 37.70 (23.27)  @1σ0.1: 27.34 (14.56)  @2σ0.01: 41.23 (32.12)  @2σ0.03: 34.24 (22.83)  @2σ0.1: 27.08 (14.46)  @3σ0.01: 37.75 (31.07)  @3σ0.03: 34.27 (22.89)  @3σ0.1: 25.98 (14.44)  24.6 min
step 20000  loss 0.2830  @1σ0.01: 47.66 (38.18)  @1σ0.03: 37.77 (23.27)  @1σ0.1: 27.52 (14.56)  @2σ0.01: 41.28 (32.12)  @2σ0.03: 34.29 (22.83)  @2σ0.1: 27.22 (14.46)  @3σ0.01: 37.81 (31.07)  @3σ0.03: 34.34 (22.89)  @3σ0.1: 26.10 (14.44)  27.3 min
step 22000  loss 0.2908  @1σ0.01: 47.73 (38.19)  @1σ0.03: 37.90 (23.27)  @1σ0.1: 27.73 (14.56)  @2σ0.01: 41.35 (32.12)  @2σ0.03: 34.34 (22.83)  @2σ0.1: 27.46 (14.46)  @3σ0.01: 37.88 (31.07)  @3σ0.03: 34.42 (22.89)  @3σ0.1: 26.33 (14.44)  29.9 min
