426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.26 M parameters
step 2000  loss 0.4901  @1σ0.01: 45.09 (38.19)  @1σ0.03: 33.37 (23.27)  @1σ0.1: 23.52 (14.56)  @2σ0.01: 37.77 (32.12)  @2σ0.03: 31.67 (22.83)  @2σ0.1: 23.40 (14.46)  @3σ0.01: 34.55 (31.07)  @3σ0.03: 31.21 (22.89)  @3σ0.1: 23.21 (14.44)  4.9 min
step 4000  loss 0.3826  @1σ0.01: 46.18 (38.19)  @1σ0.03: 34.74 (23.27)  @1σ0.1: 24.78 (14.56)  @2σ0.01: 39.45 (32.12)  @2σ0.03: 32.59 (22.83)  @2σ0.1: 24.59 (14.46)  @3σ0.01: 36.42 (31.07)  @3σ0.03: 32.35 (22.89)  @3σ0.1: 24.24 (14.44)  9.7 min
step 6000  loss 0.3323  @1σ0.01: 47.07 (38.18)  @1σ0.03: 36.72 (23.27)  @1σ0.1: 25.76 (14.56)  @2σ0.01: 40.59 (32.12)  @2σ0.03: 33.70 (22.83)  @2σ0.1: 25.58 (14.46)  @3σ0.01: 37.27 (31.07)  @3σ0.03: 33.66 (22.89)  @3σ0.1: 24.92 (14.44)  14.5 min
step 8000  loss 0.3010  @1σ0.01: 47.49 (38.19)  @1σ0.03: 37.34 (23.27)  @1σ0.1: 26.92 (14.56)  @2σ0.01: 41.09 (32.12)  @2σ0.03: 34.05 (22.83)  @2σ0.1: 26.58 (14.46)  @3σ0.01: 37.68 (31.07)  @3σ0.03: 34.11 (22.89)  @3σ0.1: 25.74 (14.44)  19.3 min
step 10000  loss 0.2914  @1σ0.01: 47.68 (38.19)  @1σ0.03: 37.72 (23.27)  @1σ0.1: 26.89 (14.56)  @2σ0.01: 41.33 (32.12)  @2σ0.03: 34.25 (22.83)  @2σ0.1: 26.62 (14.46)  @3σ0.01: 37.94 (31.07)  @3σ0.03: 34.36 (22.89)  @3σ0.1: 25.68 (14.44)  24.1 min
step 12000  loss 0.2926  @1σ0.01: 47.76 (38.19)  @1σ0.03: 37.91 (23.27)  @1σ0.1: 27.21 (14.56)  @2σ0.01: 41.47 (32.12)  @2σ0.03: 34.39 (22.83)  @2σ0.1: 26.95 (14.46)  @3σ0.01: 38.09 (31.07)  @3σ0.03: 34.50 (22.89)  @3σ0.1: 25.88 (14.44)  28.9 min
step 14000  loss 0.2958  @1σ0.01: 47.80 (38.19)  @1σ0.03: 38.01 (23.27)  @1σ0.1: 27.42 (14.56)  @2σ0.01: 41.55 (32.12)  @2σ0.03: 34.46 (22.83)  @2σ0.1: 27.16 (14.46)  @3σ0.01: 38.19 (31.07)  @3σ0.03: 34.60 (22.89)  @3σ0.1: 26.03 (14.44)  33.7 min
step 16000  loss 0.2733  @1σ0.01: 47.86 (38.19)  @1σ0.03: 38.15 (23.27)  @1σ0.1: 27.60 (14.56)  @2σ0.01: 41.63 (32.12)  @2σ0.03: 34.54 (22.83)  @2σ0.1: 27.30 (14.46)  @3σ0.01: 38.27 (31.07)  @3σ0.03: 34.70 (22.89)  @3σ0.1: 26.12 (14.44)  38.5 min
step 18000  loss 0.2789  @1σ0.01: 47.87 (38.19)  @1σ0.03: 38.23 (23.27)  @1σ0.1: 27.67 (14.56)  @2σ0.01: 41.67 (32.12)  @2σ0.03: 34.57 (22.83)  @2σ0.1: 27.43 (14.46)  @3σ0.01: 38.33 (31.07)  @3σ0.03: 34.75 (22.89)  @3σ0.1: 26.14 (14.44)  43.3 min
step 20000  loss 0.2658  @1σ0.01: 47.90 (38.19)  @1σ0.03: 38.30 (23.27)  @1σ0.1: 28.08 (14.56)  @2σ0.01: 41.71 (32.12)  @2σ0.03: 34.61 (22.83)  @2σ0.1: 27.74 (14.46)  @3σ0.01: 38.37 (31.07)  @3σ0.03: 34.81 (22.89)  @3σ0.1: 26.46 (14.44)  48.1 min
step 22000  loss 0.2687  @1σ0.01: 47.91 (38.18)  @1σ0.03: 38.35 (23.27)  @1σ0.1: 28.12 (14.56)  @2σ0.01: 41.75 (32.12)  @2σ0.03: 34.64 (22.83)  @2σ0.1: 27.86 (14.46)  @3σ0.01: 38.40 (31.07)  @3σ0.03: 34.85 (22.89)  @3σ0.1: 26.53 (14.44)  52.9 min
