426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.26 M parameters
step 4000  loss 0.3821  @1σ0.01: 46.45 (38.19)  @1σ0.03: 35.24 (23.27)  @1σ0.1: 25.42 (14.56)  @2σ0.01: 39.73 (32.12)  @2σ0.03: 32.83 (22.83)  @2σ0.1: 25.14 (14.46)  @3σ0.01: 36.52 (31.07)  @3σ0.03: 32.69 (22.89)  @3σ0.1: 24.72 (14.44)  9.7 min
step 8000  loss 0.3147  @1σ0.01: 47.49 (38.18)  @1σ0.03: 37.31 (23.27)  @1σ0.1: 26.57 (14.56)  @2σ0.01: 41.12 (32.12)  @2σ0.03: 34.02 (22.83)  @2σ0.1: 26.41 (14.46)  @3σ0.01: 37.68 (31.07)  @3σ0.03: 34.06 (22.89)  @3σ0.1: 25.54 (14.44)  19.3 min
step 12000  loss 0.2875  @1σ0.01: 47.73 (38.19)  @1σ0.03: 37.85 (23.27)  @1σ0.1: 27.45 (14.56)  @2σ0.01: 41.46 (32.12)  @2σ0.03: 34.35 (22.83)  @2σ0.1: 27.18 (14.46)  @3σ0.01: 38.06 (31.07)  @3σ0.03: 34.44 (22.89)  @3σ0.1: 26.02 (14.44)  28.9 min
step 16000  loss 0.2757  @1σ0.01: 47.84 (38.19)  @1σ0.03: 38.14 (23.27)  @1σ0.1: 27.45 (14.56)  @2σ0.01: 41.64 (32.12)  @2σ0.03: 34.53 (22.83)  @2σ0.1: 27.27 (14.46)  @3σ0.01: 38.27 (31.07)  @3σ0.03: 34.65 (22.89)  @3σ0.1: 26.00 (14.44)  38.5 min
step 20000  loss 0.2684  @1σ0.01: 47.90 (38.19)  @1σ0.03: 38.31 (23.27)  @1σ0.1: 27.67 (14.56)  @2σ0.01: 41.74 (32.12)  @2σ0.03: 34.60 (22.83)  @2σ0.1: 27.48 (14.46)  @3σ0.01: 38.35 (31.07)  @3σ0.03: 34.78 (22.89)  @3σ0.1: 26.09 (14.44)  48.1 min
step 24000  loss 0.2687  @1σ0.01: 47.96 (38.19)  @1σ0.03: 38.39 (23.27)  @1σ0.1: 27.65 (14.56)  @2σ0.01: 41.80 (32.12)  @2σ0.03: 34.66 (22.83)  @2σ0.1: 27.57 (14.46)  @3σ0.01: 38.42 (31.07)  @3σ0.03: 34.86 (22.89)  @3σ0.1: 26.16 (14.44)  57.7 min
step 28000  loss 0.2669  @1σ0.01: 47.98 (38.18)  @1σ0.03: 38.49 (23.27)  @1σ0.1: 28.47 (14.56)  @2σ0.01: 41.85 (32.12)  @2σ0.03: 34.71 (22.83)  @2σ0.1: 28.19 (14.46)  @3σ0.01: 38.48 (31.07)  @3σ0.03: 34.94 (22.89)  @3σ0.1: 26.82 (14.44)  67.3 min
step 32000  loss 0.2657  @1σ0.01: 47.99 (38.19)  @1σ0.03: 38.57 (23.27)  @1σ0.1: 28.56 (14.56)  @2σ0.01: 41.88 (32.12)  @2σ0.03: 34.74 (22.83)  @2σ0.1: 28.31 (14.46)  @3σ0.01: 38.51 (31.07)  @3σ0.03: 34.99 (22.89)  @3σ0.1: 26.92 (14.44)  76.9 min
step 36000  loss 0.2620  @1σ0.01: 48.00 (38.18)  @1σ0.03: 38.63 (23.27)  @1σ0.1: 28.55 (14.56)  @2σ0.01: 41.91 (32.12)  @2σ0.03: 34.79 (22.83)  @2σ0.1: 28.30 (14.46)  @3σ0.01: 38.55 (31.07)  @3σ0.03: 35.04 (22.89)  @3σ0.1: 26.91 (14.44)  86.4 min
step 40000  loss 0.2641  @1σ0.01: 48.03 (38.19)  @1σ0.03: 38.68 (23.27)  @1σ0.1: 28.67 (14.56)  @2σ0.01: 41.94 (32.12)  @2σ0.03: 34.81 (22.83)  @2σ0.1: 28.36 (14.46)  @3σ0.01: 38.58 (31.07)  @3σ0.03: 35.08 (22.89)  @3σ0.1: 26.86 (14.44)  96.0 min
step 44000  loss 0.2498  @1σ0.01: 48.05 (38.19)  @1σ0.03: 38.72 (23.27)  @1σ0.1: 29.08 (14.56)  @2σ0.01: 41.96 (32.12)  @2σ0.03: 34.83 (22.83)  @2σ0.1: 28.72 (14.46)  @3σ0.01: 38.60 (31.07)  @3σ0.03: 35.09 (22.89)  @3σ0.1: 27.44 (14.44)  105.6 min
step 48000  loss 0.2525  @1σ0.01: 48.06 (38.19)  @1σ0.03: 38.74 (23.27)  @1σ0.1: 28.86 (14.56)  @2σ0.01: 41.97 (32.12)  @2σ0.03: 34.85 (22.83)  @2σ0.1: 28.53 (14.46)  @3σ0.01: 38.61 (31.07)  @3σ0.03: 35.12 (22.89)  @3σ0.1: 27.14 (14.44)  115.2 min
step 52000  loss 0.2535  @1σ0.01: 48.07 (38.19)  @1σ0.03: 38.79 (23.27)  @1σ0.1: 28.93 (14.56)  @2σ0.01: 41.98 (32.12)  @2σ0.03: 34.87 (22.83)  @2σ0.1: 28.65 (14.46)  @3σ0.01: 38.64 (31.07)  @3σ0.03: 35.15 (22.89)  @3σ0.1: 27.14 (14.44)  124.8 min
step 56000  loss 0.2455  @1σ0.01: 48.10 (38.19)  @1σ0.03: 38.83 (23.27)  @1σ0.1: 29.43 (14.56)  @2σ0.01: 41.99 (32.12)  @2σ0.03: 34.87 (22.83)  @2σ0.1: 28.91 (14.46)  @3σ0.01: 38.65 (31.07)  @3σ0.03: 35.17 (22.89)  @3σ0.1: 27.67 (14.44)  134.4 min
step 60000  loss 0.2494  @1σ0.01: 48.08 (38.19)  @1σ0.03: 38.85 (23.27)  @1σ0.1: 29.29 (14.56)  @2σ0.01: 42.00 (32.12)  @2σ0.03: 34.88 (22.83)  @2σ0.1: 28.88 (14.46)  @3σ0.01: 38.66 (31.07)  @3σ0.03: 35.18 (22.89)  @3σ0.1: 27.58 (14.44)  144.0 min
step 64000  loss 0.2466  @1σ0.01: 48.08 (38.19)  @1σ0.03: 38.88 (23.27)  @1σ0.1: 29.08 (14.56)  @2σ0.01: 42.00 (32.12)  @2σ0.03: 34.91 (22.83)  @2σ0.1: 28.71 (14.46)  @3σ0.01: 38.67 (31.07)  @3σ0.03: 35.20 (22.89)  @3σ0.1: 27.26 (14.44)  153.6 min
step 68000  loss 0.2433  @1σ0.01: 48.10 (38.19)  @1σ0.03: 38.90 (23.27)  @1σ0.1: 29.22 (14.56)  @2σ0.01: 42.02 (32.12)  @2σ0.03: 34.92 (22.83)  @2σ0.1: 28.79 (14.46)  @3σ0.01: 38.68 (31.07)  @3σ0.03: 35.22 (22.89)  @3σ0.1: 27.43 (14.44)  163.2 min
step 72000  loss 0.2421  @1σ0.01: 48.10 (38.18)  @1σ0.03: 38.93 (23.27)  @1σ0.1: 29.55 (14.56)  @2σ0.01: 42.02 (32.12)  @2σ0.03: 34.92 (22.83)  @2σ0.1: 29.02 (14.46)  @3σ0.01: 38.69 (31.07)  @3σ0.03: 35.24 (22.89)  @3σ0.1: 27.85 (14.44)  172.8 min
step 76000  loss 0.2429  @1σ0.01: 48.10 (38.19)  @1σ0.03: 38.94 (23.27)  @1σ0.1: 29.89 (14.56)  @2σ0.01: 42.03 (32.12)  @2σ0.03: 34.93 (22.83)  @2σ0.1: 29.12 (14.46)  @3σ0.01: 38.70 (31.07)  @3σ0.03: 35.26 (22.89)  @3σ0.1: 28.13 (14.44)  182.4 min
