426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
1.97 M parameters
step 2000  loss 0.5899  @1σ0.01: 40.78 (38.19)  @1σ0.03: 33.43 (23.27)  @1σ0.1: 24.73 (14.56)  @2σ0.01: 36.78 (32.12)  @2σ0.03: 31.52 (22.83)  @2σ0.1: 24.38 (14.46)  @3σ0.01: 33.07 (31.07)  @3σ0.03: 30.89 (22.89)  @3σ0.1: 24.16 (14.44)  2.4 min
step 4000  loss 0.4595  @1σ0.01: 42.49 (38.19)  @1σ0.03: 33.35 (23.27)  @1σ0.1: 23.60 (14.56)  @2σ0.01: 37.70 (32.12)  @2σ0.03: 31.66 (22.83)  @2σ0.1: 23.42 (14.46)  @3σ0.01: 34.52 (31.07)  @3σ0.03: 31.16 (22.89)  @3σ0.1: 23.15 (14.44)  4.7 min
step 6000  loss 0.4086  @1σ0.01: 45.84 (38.19)  @1σ0.03: 34.02 (23.27)  @1σ0.1: 23.85 (14.56)  @2σ0.01: 38.62 (32.12)  @2σ0.03: 32.14 (22.83)  @2σ0.1: 23.77 (14.46)  @3σ0.01: 35.41 (31.07)  @3σ0.03: 31.74 (22.89)  @3σ0.1: 23.31 (14.44)  7.0 min
step 8000  loss 0.3742  @1σ0.01: 46.33 (38.19)  @1σ0.03: 34.82 (23.27)  @1σ0.1: 24.67 (14.56)  @2σ0.01: 39.27 (32.12)  @2σ0.03: 32.62 (22.83)  @2σ0.1: 24.52 (14.46)  @3σ0.01: 36.00 (31.07)  @3σ0.03: 32.32 (22.89)  @3σ0.1: 24.08 (14.44)  9.4 min
step 10000  loss 0.3526  @1σ0.01: 46.79 (38.19)  @1σ0.03: 35.71 (23.27)  @1σ0.1: 25.64 (14.56)  @2σ0.01: 39.88 (32.12)  @2σ0.03: 33.13 (22.83)  @2σ0.1: 25.36 (14.46)  @3σ0.01: 36.48 (31.07)  @3σ0.03: 32.90 (22.89)  @3σ0.1: 24.82 (14.44)  11.7 min
step 12000  loss 0.3420  @1σ0.01: 47.12 (38.19)  @1σ0.03: 36.51 (23.27)  @1σ0.1: 26.28 (14.56)  @2σ0.01: 40.35 (32.12)  @2σ0.03: 33.57 (22.83)  @2σ0.1: 25.93 (14.46)  @3σ0.01: 36.87 (31.07)  @3σ0.03: 33.40 (22.89)  @3σ0.1: 25.17 (14.44)  14.0 min
step 14000  loss 0.3345  @1σ0.01: 47.28 (38.18)  @1σ0.03: 36.93 (23.27)  @1σ0.1: 26.79 (14.56)  @2σ0.01: 40.63 (32.12)  @2σ0.03: 33.80 (22.83)  @2σ0.1: 26.46 (14.46)  @3σ0.01: 37.15 (31.07)  @3σ0.03: 33.68 (22.89)  @3σ0.1: 25.63 (14.44)  16.4 min
step 16000  loss 0.3098  @1σ0.01: 47.36 (38.19)  @1σ0.03: 37.15 (23.27)  @1σ0.1: 26.93 (14.56)  @2σ0.01: 40.78 (32.12)  @2σ0.03: 33.93 (22.83)  @2σ0.1: 26.65 (14.46)  @3σ0.01: 37.34 (31.07)  @3σ0.03: 33.85 (22.89)  @3σ0.1: 25.65 (14.44)  18.7 min
step 18000  loss 0.3088  @1σ0.01: 47.42 (38.19)  @1σ0.03: 37.32 (23.27)  @1σ0.1: 27.09 (14.56)  @2σ0.01: 40.90 (32.12)  @2σ0.03: 34.02 (22.83)  @2σ0.1: 26.84 (14.46)  @3σ0.01: 37.48 (31.07)  @3σ0.03: 33.97 (22.89)  @3σ0.1: 25.73 (14.44)  21.0 min
step 20000  loss 0.3029  @1σ0.01: 47.49 (38.19)  @1σ0.03: 37.46 (23.27)  @1σ0.1: 27.18 (14.56)  @2σ0.01: 40.98 (32.12)  @2σ0.03: 34.08 (22.83)  @2σ0.1: 26.98 (14.46)  @3σ0.01: 37.58 (31.07)  @3σ0.03: 34.05 (22.89)  @3σ0.1: 25.75 (14.44)  23.4 min
step 22000  loss 0.3102  @1σ0.01: 47.56 (38.19)  @1σ0.03: 37.59 (23.27)  @1σ0.1: 27.30 (14.56)  @2σ0.01: 41.08 (32.12)  @2σ0.03: 34.14 (22.83)  @2σ0.1: 27.14 (14.46)  @3σ0.01: 37.68 (31.07)  @3σ0.03: 34.14 (22.89)  @3σ0.1: 25.86 (14.44)  27.9 min
step 24000  loss 0.2997  @1σ0.01: 47.58 (38.19)  @1σ0.03: 37.69 (23.27)  @1σ0.1: 27.57 (14.56)  @2σ0.01: 41.14 (32.12)  @2σ0.03: 34.19 (22.83)  @2σ0.1: 27.41 (14.46)  @3σ0.01: 37.74 (31.07)  @3σ0.03: 34.21 (22.89)  @3σ0.1: 26.16 (14.44)  31.4 min
step 26000  loss 0.2910  @1σ0.01: 47.63 (38.19)  @1σ0.03: 37.77 (23.27)  @1σ0.1: 27.73 (14.56)  @2σ0.01: 41.19 (32.12)  @2σ0.03: 34.23 (22.83)  @2σ0.1: 27.51 (14.46)  @3σ0.01: 37.79 (31.07)  @3σ0.03: 34.26 (22.89)  @3σ0.1: 26.26 (14.44)  34.9 min
step 28000  loss 0.2905  @1σ0.01: 47.64 (38.19)  @1σ0.03: 37.83 (23.27)  @1σ0.1: 27.91 (14.56)  @2σ0.01: 41.21 (32.12)  @2σ0.03: 34.27 (22.83)  @2σ0.1: 27.74 (14.46)  @3σ0.01: 37.82 (31.07)  @3σ0.03: 34.31 (22.89)  @3σ0.1: 26.43 (14.44)  39.3 min
step 30000  loss 0.2898  @1σ0.01: 47.69 (38.19)  @1σ0.03: 37.88 (23.27)  @1σ0.1: 27.93 (14.56)  @2σ0.01: 41.28 (32.12)  @2σ0.03: 34.30 (22.83)  @2σ0.1: 27.76 (14.46)  @3σ0.01: 37.88 (31.07)  @3σ0.03: 34.35 (22.89)  @3σ0.1: 26.44 (14.44)  42.8 min
step 32000  loss 0.2805  @1σ0.01: 47.68 (38.19)  @1σ0.03: 38.02 (23.28)  @1σ0.1: 28.05 (14.56)  @2σ0.01: 41.32 (32.12)  @2σ0.03: 34.33 (22.83)  @2σ0.1: 27.88 (14.46)  @3σ0.01: 37.91 (31.07)  @3σ0.03: 34.40 (22.89)  @3σ0.1: 26.59 (14.44)  46.1 min
step 34000  loss 0.2721  @1σ0.01: 47.73 (38.19)  @1σ0.03: 37.99 (23.27)  @1σ0.1: 28.09 (14.56)  @2σ0.01: 41.36 (32.12)  @2σ0.03: 34.35 (22.83)  @2σ0.1: 27.96 (14.46)  @3σ0.01: 37.94 (31.07)  @3σ0.03: 34.43 (22.89)  @3σ0.1: 26.60 (14.44)  50.2 min
step 36000  loss 0.2727  @1σ0.01: 47.69 (38.19)  @1σ0.03: 38.03 (23.27)  @1σ0.1: 28.32 (14.56)  @2σ0.01: 41.35 (32.12)  @2σ0.03: 34.38 (22.83)  @2σ0.1: 28.17 (14.46)  @3σ0.01: 37.96 (31.07)  @3σ0.03: 34.46 (22.89)  @3σ0.1: 26.84 (14.44)  52.5 min
step 38000  loss 0.2755  @1σ0.01: 47.73 (38.19)  @1σ0.03: 38.06 (23.27)  @1σ0.1: 28.29 (14.56)  @2σ0.01: 41.36 (32.12)  @2σ0.03: 34.38 (22.83)  @2σ0.1: 28.20 (14.46)  @3σ0.01: 37.97 (31.07)  @3σ0.03: 34.47 (22.89)  @3σ0.1: 26.84 (14.44)  55.2 min
